Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
ネッシー,ネッシー,1. Nessie (i.e. the Loch Ness monster),Unlabeled,5,<b>ネッシー</b>の写真を,Nessie's photo,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
作る,つくる,"1. to make, to produce, to manufacture, to build, to construct<br>2. to prepare (food), to brew (alcohol)<br>3. to raise, to grow, to cultivate, to train<br>4. to till<br>5. to draw up (a document), to make out, to prepare, to write<br>6. to create (an artistic work, etc.), to compose<br>7. to coin (a phrase), to organize, to organise, to establish, to found<br>8. to have (a child)<br>9. to make up (one's face, etc.)<br>10. to fabricate (an excuse, etc.)<br>11. to give a (false) appearance, to feign (a smile, etc.), to put on a show of emotion<br>12. to form (a line, etc.)<br>13. to set (a record)<br>14. to commit (a sin, etc.)",N5,5,うん　それは先輩が<b>作る</b>曲だからね,"Yes, that's a song written by my senior.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
っけ,け,"1. lacking substance and existing in name only, something without substance",Unlabeled,5,今日　デートじゃなかった<b>っけ</b>？,Didn't you have a date today?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
むっ,むっつ,1. six<br>2. six years of age<br>3. six o'clock (old time system),Unlabeled,5,はッ　<b>むっ</b>たんが,"Huh, Muttanga",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
誰,だれ,1. who,N5,5,もし偶然　<b>誰</b>かミュージシャンに,If someone happens to be a musician,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
出る,でる,"1. to leave, to exit, to go out, to come out, to get out<br>2. to leave (on a journey), to depart, to start out, to set out<br>3. to move forward<br>4. to come to, to get to, to lead to, to reach<br>5. to appear, to come out, to emerge, to surface, to come forth, to turn up, to be found, to be detected, to be discovered, to be exposed, to show, to be exhibited, to be on display<br>6. to appear (in print), to be published, to be announced, to be issued, to be listed, to come out<br>7. to attend, to participate, to take part, to enter (an event), to play in, to perform<br>8. to be stated, to be expressed, to come up, to be brought up, to be raised<br>9. to sell<br>10. to exceed, to go over<br>11. to stick out, to protrude<br>12. to break out, to occur, to start, to originate<br>13. to be produced<br>14. to come from, to be derived from<br>15. to be given, to get, to receive, to be offered, to be provided, to be presented, to be submitted, to be handed in, to be turned in, to be paid<br>16. to answer (phone, door, etc.), to get<br>17. to assume (an attitude), to act, to behave<br>18. to pick up (speed, etc.), to gain<br>19. to flow (e.g. tears), to run, to bleed<br>20. to graduate<br>21. to ejaculate, to cum",N5,5,すぐに機内食　<b>出</b>ますよ,The in-flight meal will be served soon.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
戻る,もどる,"1. to turn back (e.g. half-way)<br>2. to return, to go back<br>3. to recover (e.g. something lost), to be returned<br>4. to rebound, to spring back",N4,5,でも　時間<b>戻る</b>よ,But I'll go back in time,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
日本語,にほんご,1. Japanese (language),Unlabeled,5,でも　相手は<b>日本語</b>,But the other person is Japanese.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
とき,とき,"1. time, hour, moment<br>2. occasion, case<br>3. chance, opportunity, season<br>4. the times, the age, the day<br>5. tense",Unlabeled,5,それは寝る<b>とき</b>の靴下の話！,It's about socks when you sleep!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
サンキュー,サンキュー,1. thank you,N1,5,オッケー　<b>サンキュー</b>です,"Okay, thank you.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
寿司屋,すしや,"1. sushi shop, sushi restaurant, sushi bar",Unlabeled,5,<b>寿司屋</b>なのに？,Even though it's a sushi restaurant?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
クライシス,クライシス,1. crisis,Unlabeled,5,☎ラブ・<b>クライシス</b>とブラックフリルが,☎Love Crisis and Black Frill,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ライブ,ライブ,"1. live (esp. concert, show, etc.), live performance<br>2. alive",Unlabeled,5,ロンドンで<b>ライブ</b>やったんでしょ？,Did you perform live in London?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
中,なか,"1. inside, interior, in<br>2. among, within<br>3. middle, center, centre<br>4. during, while, middle, midst, amid<br>5. interval, gap<br>6. mean, average<br>7. second (of three, e.g. sons, volumes), middle<br>8. medium grade, medium quality<br>9. red-light district",N5,5,お客さんの<b>中</b>にですか？,Are you among the customers?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
笑顔,えがお,"1. smiling face, smile",N3,5,♬～答えは<b>笑顔</b>と,♬～The answer is a smile,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
合う,あう,"1. to come together, to merge, to unite, to meet<br>2. to fit, to match, to suit, to agree with, to be correct<br>3. to be profitable, to be equitable<br>4. to do ... to each other, to do ... together",N4,5,「なんでも<b>合う</b>よ」は？,“Anything goes with it”?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
時,とき,"1. time, hour, moment<br>2. occasion, case<br>3. chance, opportunity, season<br>4. the times, the age, the day<br>5. tense",N3,5,５<b>時</b>くらいに空港に着かないと,I have to get to the airport around 5 o'clock.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
夢,ゆめ,1. dream,N4,5,唯先輩の<b>夢</b>を見たせいで,Because I had a dream about Yui Senpai,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
すてき,すてき,"1. lovely, wonderful, nice, great, fantastic, superb, cool",N3,5,<b>すてき</b>なキミに,To you wonderful,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
天使,てんし,1. angel,Unlabeled,5,♬～すてきな<b>天使</b>に,♬～To a wonderful angel,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
部室,ぶしつ,1. clubroom,Unlabeled,4,<b>部室</b>に帰る道が,The way back to the clubroom,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
音楽,おんがく,1. music,N5,4,目指している<b>音楽</b>は,What kind of music are you aiming for?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
くせ,くせ,"1. habit (often a bad habit, i.e. vice), tendency<br>2. peculiarity, idiosyncrasy, mannerism<br>3. crease, wrinkle, curl, kink",Unlabeled,4,転んでパンツ見せてた<b>くせ</b>に,Even though I fell down and showed my panties,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
音楽性,おんがくせい,1. musicianship,Unlabeled,4,何が<b>音楽性</b>だ,what is musicality,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
にゃ,に,"1. load, baggage, cargo, freight, goods<br>2. burden, responsibility",Unlabeled,4,あず<b>にゃ</b>んと一緒に卒業できると,I hope I can graduate with Azu-nyan.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
吹ける,ふく,"1. to blow (of the wind)<br>2. to blow (one's breath), to breathe out, to blow on (hot tea, candles, etc.), to puff<br>3. to play (a wind instrument), to blow (a whistle, trumpet, etc.), to whistle (a tune)<br>4. to emit (smoke, fire, etc.), to spout, to spew, to puff out<br>5. to sprout, to put forth (buds)<br>6. to appear (on the surface), to form, to be coated with (powder, rust, etc.)<br>7. to burst out laughing, to burst into laughter<br>8. to brag, to talk big<br>9. to smelt, to mint",Unlabeled,4,弾けないわ　ハーモニカは<b>吹け</b>ないわ,I can't play the harmonica.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
おかしい,おかしい,"1. funny, amusing, comical, laughable, ridiculous<br>2. strange, odd, funny, peculiar, weird, unusual, eccentric<br>3. improper, unsuitable, unbecoming<br>4. suspicious",N4,4,ムギのチャンチャラ<b>おかしい</b>も,Wheat Chanchara is funny,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
一番,いちばん,"1. number one, first, first place<br>2. best, most<br>3. game, round, bout<br>4. as a test, as an experiment, by way of experiment, by way of trial, tentatively<br>5. song (e.g. in noh), piece",N3,4,♬～百個目の<b>一番</b>も　それは一番で,♬～The hundredth number is also the number one.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
悪い,わるい,"1. bad, poor, undesirable<br>2. poor (quality), inferior, insufficient<br>3. evil, sinful<br>4. ugly, not beautiful<br>5. at fault, to blame, in the wrong<br>6. bad (at doing something)<br>7. unprofitable, unbeneficial<br>8. sorry, (my) bad, unforgivable",N5,4,⚟それは<b>悪う</b>ございましたね,⚟Sorry for that.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
楽しい,たのしい,"1. enjoyable, fun, pleasant, happy, delightful",N5,4,ロンドンとても<b>楽しかっ</b>たです,London was so much fun,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
音,おと,"1. sound, noise, report<br>2. note<br>3. fame<br>4. Chinese-derived character reading",N4,4,先輩の<b>音</b>に合わせます,Follow the voice of your seniors,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
歌,うた,1. song<br>2. classical Japanese poetry (esp. tanka)<br>3. modern poetry,N5,4,さあ　後はあずにゃんの<b>歌</b>を,"Now, let's sing Azunyan's song",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
目,め,"1. eye, eyeball<br>2. eyesight, sight, vision<br>3. look, stare, gaze, glance<br>4. notice, attention, observation, eyes (of the world, public, etc.)<br>5. an experience<br>6. viewpoint<br>7. discrimination, discernment, judgement, eye (e.g. for quality)<br>8. appearance<br>9. chance to succeed, possibility<br>10. spacing (between crossed strands of a net, mesh, etc.), opening, stitch, texture, weave<br>11. grain (of wood)<br>12. eye (of a storm, needle, etc.)<br>13. intersection (on a go board), square (on a chess board)<br>14. dot (on a dice), pip, rolled number<br>15. graduation, division (of a scale)<br>16. tooth (of a saw, comb, etc.)<br>17. ordinal number suffix<br>18. somewhat, -ish<br>19. point (e.g. of change)",N5,4,♬～百個<b>目</b>の一番も　それは一番で,♬～The hundredth number is also the number one.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ひと,いち,"1. one<br>2. best<br>3. first, foremost<br>4. beginning, start<br>5. a (single), one (of many)<br>6. ace (playing card)<br>7. bottom string (on a shamisen, etc.)",Unlabeled,4,ここは　<b>ひと</b>つ,Here is one,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
確か,たしか,"1. sure, certain, positive, definite<br>2. reliable, trustworthy, safe, sound, firm, accurate, correct, exact<br>3. If I'm not mistaken, If I remember correctly, If I remember rightly",N4,4,<b>確か</b>　５連休になるはずで,I'm sure it's supposed to be a 5-day holiday.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
カワイイ,かわいい,"1. cute, adorable, charming, lovely, pretty<br>2. dear, precious, darling, pet<br>3. innocent, childlike, childish, lovable<br>4. dainty, cute little, tiny",Unlabeled,4,<b>カワイイ</b>でしょ,"It's cute, isn't it?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
っぽい,っぽい,"1. -ish, -like",Unlabeled,4,あずにゃん<b>っぽい</b>ものがいいよね,I like something that looks like Azunyan.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
クラス,クラス,1. class,N5,4,卒業式の日に<b>クラス</b>全員で,The whole class on graduation day,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いつも,いつも,"1. always, all the time, at all times<br>2. never<br>3. usual, regular, habitual, customary",N5,4,♬～キミを見てると<b>いつも</b>,♬～Whenever I look at you,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
手,て,"1. hand, arm<br>2. forepaw, foreleg<br>3. handle<br>4. hand, worker, help<br>5. trouble, care, effort<br>6. means, way, trick, move, technique, workmanship<br>7. hand, handwriting<br>8. kind, type, sort<br>9. one's hands, one's possession<br>10. ability to cope<br>11. hand (of cards)<br>12. direction<br>13. move (in go, shogi, etc.)",N5,4,すごく<b>手</b>が冷たいの,My hands are really cold,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
歌詞,かし,"1. song lyrics, words of a song, libretto",Unlabeled,4,後は<b>歌詞</b>がまとまれば　完成だね,All that's left to do is get the lyrics together and it's complete.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
なあ,な,"1. greens, vegetables<br>2. rape (Brassica napus), rapeseed",Unlabeled,4,<b>なあ</b>　唯　どんな曲にしよう,"Hey Yui, what kind of song should we choose?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ハワイ,ハワイ,Hawai,Unlabeled,4,<b>ハワイ</b>に行きたいんじゃ？,"You want to go to Hawaii, right?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
感じ,かんじ,"1. feeling, sense, impression",N3,4,⚟泣かせちゃう<b>感じ</b>？,⚟Does it make you cry?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
好き,すき,"1. liked, well-liked, favourite, favorite<br>2. in love (with), loved, romantically interested (in)<br>3. faddism, eccentricity<br>4. the way one likes, (as) it suits one<br>5. refined taste, elegant pursuits",N5,4,何が<b>好き</b>なの？,What do you like?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
すぐ,すぐ,"1. immediately, at once, right away, directly<br>2. soon, before long, shortly<br>3. easily, readily, without difficulty<br>4. right (near), nearby, just (handy)<br>5. honest, upright, frank, straightforward",Unlabeled,4,<b>すぐ</b>何でも後回しにするんだから,I immediately put everything off until later.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
空,から,"1. emptiness, vacuum, blank",N5,4,♬～離れてても　同じ<b>空</b>見上げて,"♬~ Even if we are apart, we look up at the same sky",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
見える,みえる,"1. to be seen, to be in sight<br>2. to look, to seem, to appear<br>3. to come",N4,4,私　こう<b>見え</b>ても,Even if I look like this,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
皆,みんな,"1. everyone, everybody, all<br>2. everything, all",N4,4,<b>皆</b>さん　他にリクエストはないですね,"Everyone, I don't have any other requests.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いきなり,いきなり,"1. abruptly, suddenly, all of a sudden, without warning",N2,4,<b>いきなり</b>メールが来たから,Because I suddenly received an email,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
メール,メール,"1. email<br>2. mail (usu. in compound words), post<br>3. message (sent over a chat application), (SMS) text<br>4. male",Unlabeled,4,☎詳しいことは携帯に<b>メール</b>するから,☎Details will be emailed to your mobile phone.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
買う,かう,"1. to buy, to purchase<br>2. to value, to have a high opinion<br>3. to stir, to provoke, to draw upon oneself",N5,4,ちょっとジュース<b>買っ</b>てくる,I'll buy some juice,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
っと,と,"1. if, when<br>2. and<br>3. with<br>4. used for quoting (thoughts, speech, etc.)<br>5. promoted pawn<br>6. indicates a question",Unlabeled,4,え～<b>っと</b>　ロンドンで５日間ほど,"Well, about 5 days in London.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いっぱい,いっぱい,"1. amount necessary to fill a container (e.g. cupful, spoonful, etc.), drink (usu. alcoholic)<br>2. full<br>3. one squid, octopus, crab, etc., one boat<br>4. fully, to capacity<br>5. a lot, much<br>6. all of ..., the entire ...",N4,4,見るとこ　<b>いっぱい</b>あるし,There are a lot of places to look,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
でる,てる,"1. to shine<br>2. to look slightly upward (of a noh mask; indicating joy, etc.)",Unlabeled,4,住ん<b>で</b>た家に行きたい,I want to go to the house where I lived,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
研,けんきゅう,"1. research, study, investigation<br>2. Research",Unlabeled,4,オカルト<b>研</b>も,Occult lab too,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
撮る,とる,"1. to take (a photo)<br>2. to record (video, audio, etc.), to make (a film)",N5,4,一緒に記念写真　<b>撮ろう</b>と思って,I wanted to take a commemorative photo together.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
もし,もし,"1. if, in case, supposing",N4,4,<b>もし</b>偶然　誰かミュージシャンに,If someone happens to be a musician,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
失礼,しつれい,"1. discourtesy, impoliteness<br>2. excuse me, goodbye<br>3. to leave<br>4. to be rude",Unlabeled,4,何でもないです　<b>失礼</b>します,"It's nothing, I'm sorry.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
気持ち,きもち,"1. feeling, sensation, mood, state of mind<br>2. preparedness, readiness, attitude<br>3. thought, sentiment, consideration, solicitude, gratitude<br>4. slightly, a bit, a little",N4,4,日頃の感謝の<b>気持ち</b>を,Feelings of daily gratitude,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
たん,きも,"1. liver, innards<br>2. courage, spirit, pluck, guts<br>3. crux, essential point, key",Unlabeled,4,はッ　むっ<b>たん</b>が,"Huh, Muttanga",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
今まで,いままで,"1. until now, so far, up to the present",Unlabeled,4,<b>今まで</b>気がつかなかったんだろう,I guess I didn't notice it until now,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
スケール,スケール,"1. scale, vernier",Unlabeled,4,もっと　<b>スケール</b>の大きな＞,Even bigger scale>,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
あと,あと,"1. behind, rear<br>2. after, later<br>3. remainder, the rest<br>4. more (e.g. five more minutes), left<br>5. also, in addition<br>6. descendant, successor, heir<br>7. after one's death<br>8. past, previous",N3,4,またほっぺに弦の<b>あと</b>がつくよ,There are string marks on my cheeks again.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
飛行機,ひこうき,"1. aeroplane, airplane, aircraft",N5,4,<b>飛行機</b>に間に合うんですか？,Will you be on time for the plane?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
わッ,わっ,"1. boo! (sound used to scare someone)<br>2. ugh (dissatisfaction, aggravation)<br>3. ulp (consternation)",Unlabeled,4,<b>わッ</b>　私は下で,"Wow, I'm downstairs",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
アイ,あい,"1. dyer's knotweed (Persicaria tinctoria, used to produce indigo dye)<br>2. indigo (dye)<br>3. indigo (colour)",Unlabeled,4,<b>アイ</b>　アム　ブチョー！,I AM BUCHO!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
英語,えいご,1. English (language),N5,4,<b>英語</b>で歌うの？,Do you sing in English?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
次,つぎ,"1. next, following, subsequent<br>2. stage, station",N5,4,<b>次</b>はムギかな,Next will be wheat,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
かしら,かしら,"1. I wonder<br>2. some kind, some stage, somehow, somewhere",Unlabeled,4,ああ　工事でもしてるの<b>かしら</b>,"Ah, I wonder if there's some construction going on?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ホテル,ホテル,1. hotel,N5,4,この<b>ホテル</b>　市内にいくつかあると,There are several hotels in the city.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ご飯,ごはん,1. cooked rice<br>2. meal,Unlabeled,4,いや　<b>ご飯</b>つながりで,"No, because of the food",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
マキ,マキ,Maki,Unlabeled,4,て　<b>マキ</b>ちゃん！,Te Maki-chan!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
川上,川上,Kawakami,Unlabeled,4,そう　その<b>川上</b>さんの紹介でね,"Yes, with Mr. Kawakami's introduction.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
呼ぶ,よぶ,"1. to call out (to), to call, to invoke<br>2. to summon (a doctor, etc.)<br>3. to invite<br>4. to designate, to name, to brand<br>5. to garner (support, etc.), to gather<br>6. to take as one's wife",N5,4,私　スタッフの人<b>呼ん</b>でこようか,Shall I call a staff member?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
歌う,うたう,"1. to sing<br>2. to sing (one's praises in a poem, etc.), to compose a poem, to recite a poem",N5,4,♬～ユニゾンで<b>歌おう</b>！,♬~Let's sing in unison!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
すっごい,すごい,"1. terrible, dreadful<br>2. amazing (e.g. of strength), great (e.g. of skills), wonderful, terrific<br>3. to a great extent, vast (in numbers)<br>4. awfully, very, immensely",Unlabeled,4,それが　<b>すっごく</b>変な夢なんですよ,That's a really weird dream.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
にゃんにゃん,にゃんにゃん,"1. meow, miaow<br>2. cat<br>3. sexual intercourse, making out",Unlabeled,4,＜♬～あず<b>にゃんにゃん</b>にゃん,＜♬〜Azu meow meow meow,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
なん,なに,"1. what<br>2. you-know-what, that thing<br>3. whatsit, whachamacallit, what's-his-name, what's-her-name<br>4. (not) at all, (not) in the slightest<br>5. what?, huh?<br>6. hey!<br>7. oh, no (it's fine), why (it's nothing), oh (certainly not)",Unlabeled,4,「<b>なん</b>でも合うよ」は？,“Anything goes with it”?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
むしろ,むしろ,"1. rather, better, instead, if anything",Unlabeled,4,♬～<b>むしろ</b>ごはんがおかずだよ,"♬～Rather, rice is a side dish.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
変,へん,"1. strange, odd, peculiar, weird, curious, queer, eccentric, funny, suspicious, fishy<br>2. unexpected<br>3. change<br>4. incident, disturbance, disaster, accident<br>5. flat",N4,4,それが　すっごく<b>変</b>な夢なんですよ,That's a really weird dream.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
関西,関西,Kansai,N2,4,♬～私前世は<b>関西</b>人！,♬～I was a Kansai person in my previous life!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
気づく,きづく,"1. to notice, to recognize, to recognise, to become aware of, to perceive, to realize, to realise",Unlabeled,4,ねえねえ　すごいことに<b>気づい</b>たよ,"Hey hey, I just noticed something amazing.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
教室,きょうしつ,"1. classroom<br>2. department, laboratory<br>3. single-room school, small school",N5,4,<b>教室</b>でライブ？,Live in the classroom?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
目指す,めざす,"1. to aim at (for, to do, to become), to try for, to have an eye on<br>2. to go toward, to head for",N2,3,<b>目指し</b>ている音楽は,What kind of music are you aiming for?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
見せる,みせる,"1. to show, to display",N5,3,転んでパンツ<b>見せ</b>てたくせに,Even though I fell down and showed my panties,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
どの,ドノ,Which?,N5,3,<b>どの</b>口が言う！　お前が入部して,Which mouth says! You joined the club,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
入部,にゅうぶ,1. joining a club,Unlabeled,3,知らずに<b>入部</b>したんですよね,I joined the club without knowing it.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ギター,ギター,1. guitar,N5,3,唯先輩のと同じ<b>ギター</b>ですね,It's the same guitar as Yui's.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
なさる,なさる,1. to do,N4,3,早く寝<b>なさい</b>ね　憂も,"Go to bed early, sad too",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
チャン,れきせい,"1. asphalt, bitumen",Unlabeled,3,ムギの<b>チャン</b>チャラおかしいも,Wheat Chanchara is funny,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
おいしい,おいしい,"1. delicious, tasty, sweet<br>2. attractive, appealing, convenient, favorable, desirable, profitable",N5,3,すみません　<b>おいしい</b>です,"Excuse me, it's delicious",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
定番,ていばん,"1. standard, routine, regular, basic, staple",Unlabeled,3,いつもの<b>定番</b>だね,It's the usual standard,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ハート,ハート,1. heart,Unlabeled,3,<b>ハート</b>がぴたって,The heart is tight,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
予感,よかん,"1. presentiment, premonition, hunch<br>2. to have a premonition, to have a hunch",N1,3,♬～いいことありそうな<b>予感</b>,♬～I have a feeling that something good will happen,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
出逢う,であう,"1. to meet (by chance), to come across, to run across, to encounter, to happen upon<br>2. to meet (e.g. of rivers, highways, etc.)<br>3. to emerge and engage (an enemy)",Unlabeled,3,♬～<b>出逢っ</b>て,♬～We met,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
胸,むね,"1. chest, breast<br>2. breasts, bosom, bust<br>3. heart<br>4. lungs<br>5. stomach<br>6. heart, mind, feelings",N3,3,♬～ビートで<b>胸</b>に刻む誓い,♬ ~ A vow carved into your heart with the beat,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
一杯,いっぱい,"1. amount necessary to fill a container (e.g. cupful, spoonful, etc.), drink (usu. alcoholic)<br>2. full<br>3. one squid, octopus, crab, etc., one boat<br>4. fully, to capacity<br>5. a lot, much<br>6. all of ..., the entire ...",Unlabeled,3,もう<b>一杯</b>　お茶して帰るわ,I'll have another cup of tea and go home.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
自分,じぶん,"1. myself, yourself, oneself, himself, herself<br>2. I, me<br>3. you",N5,3,ロンドンでは<b>自分</b>でタクシーのドアを,"In London, you open your own taxi door",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
こう,こう,"1. in this way, thus, such<br>2. uh...",N4,3,私　<b>こう</b>いう　いい加減な部だとは,I never thought I'd be this lazy.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
しれる,しれる,"1. to become known, to come to light, to be discovered<br>2. to be known, to be understood<br>3. to obviously not amount to much, to seem trivial<br>4. to be evident, to be obvious, to go without saying<br>5. to be very intense (worry, hope, etc.), to be extremely severe",Unlabeled,3,泳いでたかも<b>しん</b>ない,I might have been swimming.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
家,いえ,"1. house, residence, dwelling<br>2. family, household<br>3. lineage, family name",N5,3,住んでた<b>家</b>に行きたい,I want to go to the house where I lived,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
紅茶,こうちゃ,1. black tea,N5,3,<b>紅茶</b>の国だもんな,It's a country of tea.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
痛い,いたい,"1. painful, sore<br>2. cringy, embarrassing<br>3. exceeding",N5,3,ずっと<b>痛かっ</b>たの？,Did it hurt all the time?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
