Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
傷,きず,"1. wound, injury, cut, gash, bruise, scratch, scrape, scar<br>2. chip, crack, scratch, nick<br>3. flaw, defect, weakness, weak point<br>4. stain (on one's reputation), disgrace, dishonor, dishonour<br>5. (emotional) hurt, hurt feelings",N3,4,《暦：<b>傷</b>が集中してる,《Calendar: The wounds are concentrated.,"#02 PART はじめてのサイコー！.ja, #06 PART 湯けむりミステリースケート？!.ja, #09 PART あの時、俺たちは特別だった.ja"
期,き,"1. period, time<br>2. opportunity, chance, occasion<br>3. age<br>4. term (e.g. in office)<br>5. session (e.g. of parliament)<br>6. stage (e.g. of a disease)<br>7. season (e.g. of a TV series)",N1,4,成長<b>期</b>なら　なおさらもっと食え！,"If you're in the growing season, eat even more!","#02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja, #08 PART 宿命のトーナメント!.ja"
心配,しんぱい,"1. worry, concern, anxiety, uneasiness, fear<br>2. care, help, aid, assistance",N4,4,店長１人じゃ<b>心配</b>ですから,I'm worried if there's only one store manager.,"#02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #11 PART キング VS ザコ.ja"
チック,チック,"1. pomade stick, stick pomade",Unlabeled,4,<b>チック</b>　タック　チック　タック,Tic Tock Tic Tock,#02 PART はじめてのサイコー！.ja
タック,タック,"1. tuck (clothing, sewing)<br>2. tuck (diving, gymnastics)",Unlabeled,4,チック　<b>タック</b>　チック　タック,Tic Tock Tic Tock,#02 PART はじめてのサイコー！.ja
しゃべる,しゃべる,"1. to talk, to chat, to chatter",N3,4,ゴリラ語で<b>しゃべる</b>な！,Don't speak in Gorilla!,"#02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja, #10 PART 言葉のいらないDAP.ja"
どおり,どおり,"1. in accordance with, following<br>2. roughly, about<br>3. Street, Avenue",Unlabeled,4,入札は規定<b>どおり</b>に行われた,The bidding was carried out as per the regulations.,"#02 PART はじめてのサイコー！.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #11 PART キング VS ザコ.ja"
こんなに,こんなに,"1. so, like this, in this way",N3,4,<b>こんなに</b>差がついてたんだ,There was such a difference,"#02 PART はじめてのサイコー！.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja"
普通,ふつう,"1. normal, ordinary, regular, usual, common, average<br>2. normally, ordinarily, usually, generally, commonly<br>3. local train, train that stops at every station",N4,4,<b>普通</b>に滑っても俺は速いんだよ！,"Even if I skate normally, I'm fast!","#02 PART はじめてのサイコー！.ja, #08 PART 宿命のトーナメント!.ja, #11 PART キング VS ザコ.ja"
板,いた,"1. board, plank<br>2. sheet (of metal), plate (of glass), pane, slab<br>3. cutting board, chopping board<br>4. chef (esp. of high-end Japanese cuisine), cook<br>5. stage (i.e. at a theatre)",N3,4,ただの滑る<b>板</b>から　飛ぶ板に！,From just a sliding board to a flying board!,#02 PART はじめてのサイコー！.ja
邪魔,じゃま,"1. hindrance, obstacle, nuisance, disturbance, interruption, interference<br>2. to visit (someone's home)<br>3. demon who hinders Buddhist training, demon who obstructs sentient beings from maintaining moral behaviour",N3,4,誰にも<b>邪魔</b>されない,no one will disturb you,"#02 PART はじめてのサイコー！.ja, #06 PART 湯けむりミステリースケート？!.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
恥ずかしい,はずかしい,"1. embarrassing, embarrassed, ashamed, humiliated, shy<br>2. disgraceful, shameful",N4,4,友情パワーとか　<b>恥ずかしい</b>な,The power of friendship is embarrassing.,"#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja"
こういう,こういう,"1. such, this sort of, like this",Unlabeled,4,初めてか　<b>こういう</b>ところは,Is this your first time at a place like this?,"#02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja"
そいつ,そいつ,"1. he, she, that person, that guy, that fellow<br>2. that, that one, that thing",Unlabeled,4,ビーフしたときの<b>そいつ</b>も—,That guy when we had beef—,"#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #11 PART キング VS ザコ.ja"
ついてる,ついてる,"1. to be lucky, to be in luck<br>2. to be attached, to have, to be included, to come with, to contain, to be in a state",Unlabeled,4,こんなに差が<b>ついて</b>たんだ,There was such a difference,"#02 PART はじめてのサイコー！.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #10 PART 言葉のいらないDAP.ja"
売る,うる,1. to sell,N5,4,高野先生を<b>売ら</b>れたのですか？,Was Takano Sensei sold?,"#02 PART はじめてのサイコー！.ja, #05 PART 情熱のダンシングNight!.ja, #10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
ロング,ロング,1. long,Unlabeled,4,カーラ　タイプ<b>ロング</b>！,Carla type long!,"#02 PART はじめてのサイコー！.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
血,ち,"1. blood<br>2. blood, ancestry, lineage, stock<br>3. (the) blood, feelings, passions",N4,4,うわっ　<b>血</b>っ！　血ぃ出た！　血ぃ！,"Wow, blood! There was blood! Blood!",#02 PART はじめてのサイコー！.ja
あむ,あぶ,"1. horsefly, gadfly",Unlabeled,4,ここに<b>あん</b>じゃね～のかよ！,Isn't it here?,"#02 PART はじめてのサイコー！.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #11 PART キング VS ザコ.ja"
レベル,レベル,"1. level, standard, amount, degree, grade, rank, class<br>2. level (plane), floor, storey (story), layer, stratum<br>3. spirit level, (surveyor's) level<br>4. minor release sequence number (software versioning)<br>5. rebel",N2,4,やっぱ<b>レベル</b>が違う！,It's definitely on a different level!,"#03 PART 望まない勇者.ja, #09 PART あの時、俺たちは特別だった.ja"
練習,れんしゅう,"1. practice, training, drill, (an) exercise, workout",N5,4,次　<b>練習</b>してる写真　いいですか？,Next: Is this photo of you practicing okay?,"#03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #10 PART 言葉のいらないDAP.ja"
動き,うごき,"1. movement, move, motion<br>2. trend, development, change, fluctuation",N1,4,アイツは<b>動き</b>に無駄が多い,He has a lot of waste in his movements.,"#03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #09 PART あの時、俺たちは特別だった.ja"
話,はなし,"1. talk, speech, chat, conversation<br>2. topic, subject<br>3. discussions, negotiation, argument<br>4. rumor, talk, hearsay<br>5. tale, story, fable<br>6. circumstances, particulars",N5,4,その<b>話</b>　俺も乗ったぜ！,That story: I rode it too!,"#03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja"
頭,とう,"1. counter for large animals (e.g. head of cattle), counter for insects in a collection, counter for helmets, masks, etc.",N5,4,<b>頭</b>を下げて取り消してもらえ,Please bow your head and cancel it.,"#03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #10 PART 言葉のいらないDAP.ja"
横,よこ,"1. horizontal (as opposed to vertical), lying down<br>2. side-to-side (as opposed to front-to-back), width, breadth<br>3. side (of a box, etc.)<br>4. beside, aside, next to<br>5. unconnected",N5,4,<b>横</b>に進もうとすると,If you try to move sideways,"#03 PART 望まない勇者.ja, #06 PART 湯けむりミステリースケート？!.ja"
賭け,かけ,"1. bet, wager, stake, gamble",N1,4,そうだ　<b>賭け</b>の賞品は君にしよう！,"That's right, I'll bet on you as the prize!","#03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #09 PART あの時、俺たちは特別だった.ja"
しかし,しかし,However,N5,4,《菊池：<b>しかし</b>愛之介様は—,[Kikuchi: But Ainosuke-sama...,"#03 PART 望まない勇者.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
破る,やぶる,"1. to tear, to rip, to break, to destroy<br>2. to break through (cordon, opponent's defense, etc.), to breach<br>3. to defeat, to beat<br>4. to break (e.g. silence), to disturb (e.g. peace), to shatter (e.g. dream), to disrupt, to spoil<br>5. to violate (e.g. rule), to break (e.g. promise), to infringe<br>6. to break (a record)",N3,4,俺との約束は<b>破る</b>ってことだろ!?,Does that mean you'll break your promise to me?,"#03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja"
技,わざ,"1. technique, art, skill, move",N1,4,チェリーを倒した<b>技</b>！,The technique that defeated Cherry!,"#03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
よっしゃ,よっしゃ,"1. gotcha, alrighty, got it, OK",Unlabeled,4,<b>よっしゃ</b>あああ～！,"Alright, aaaaaaaaaaaaaaaa!","#03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja"
利用,りよう,"1. use, utilization, utilisation, application",N4,4,俺のパワーを<b>利用</b>するとはな,I don't think you'll use my power.,"#03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #09 PART あの時、俺たちは特別だった.ja"
理由,りゆう,"1. reason, pretext, motive",N4,4,愛抱夢が戻ってきた<b>理由</b>も彼か,Is he also the reason why my love dreams came back?,"#03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
伝説,でんせつ,"1. tradition, legend, folklore",N1,4,≪おおっ　<b>伝説</b>降臨！,"≪Oh, the legend has arrived!","#03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #12 PART 俺たちの無限大!.ja"
言葉,ことば,"1. language, dialect<br>2. word, words, phrase, term, expression, remark<br>3. speech, (manner of) speaking<br>4. learning to speak, language acquisition",N5,4,んっ　<b>言葉</b>遊びはやめろ！,"Hmm, stop playing with words!","#03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
場合,ばあい,"1. case, situation",N4,4,感心してる<b>場合</b>かっ！,If you're impressed!,"#03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja"
レストラン,レストラン,1. restaurant (esp. Western-style),N5,4,その「勘」で入ったＬＡの<b>レストラン</b>は,The restaurant in LA that I went to based on that “gut feeling” was,"#03 PART 望まない勇者.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja"
言える,いえる,"1. to be possible to say, to be able to say<br>2. said, have said",Unlabeled,4,おい　なんとか<b>言えよ</b>！,"Hey, say something!","#04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja"
挑む,いどむ,"1. to challenge to (a fight, game, etc.), to throw down the gauntlet, to contend for<br>2. to tackle (e.g. a problem), to attempt, to go after (a prize, record, etc.)<br>3. to pressure (someone) for sex, to make advances to",N1,4,俺は愛抱夢にビーフを<b>挑む</b>,I challenge my love to beef,"#04 PART 愛のマタドール、愛抱夢.ja, #09 PART あの時、俺たちは特別だった.ja"
それで,それで,"1. and, thereupon, because of that",N4,4,<b>それで</b>一矢報いたつもりか？,Are you trying to get revenge for that?,"#04 PART 愛のマタドール、愛抱夢.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #11 PART キング VS ザコ.ja"
わく,わく,"1. frame, framework<br>2. border, box<br>3. limit, restriction, quota<br>4. category, bracket, class<br>5. time slot (in a broadcasting schedule)<br>6. live stream, live (online) broadcast<br>7. spool (of thread), reel",Unlabeled,4,話してみなきゃ<b>わか</b>んね～だろ！,You won't know until you talk to me!,"#04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja"
ござる,ござる,1. to be,Unlabeled,4,ありがとう<b>ござい</b>ます,thank you,"#04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja"
車,くるま,"1. car, automobile, vehicle<br>2. wheel",N5,4,<b>車</b>に積んでおきました,I put it in the car,"#04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #11 PART キング VS ザコ.ja"
的,てき,"1. -ical, -ive, -al, -ic, -y<br>2. -like, -ish, -sort of, -kind of<br>3. (something) like, along the lines of<br>4. -wise, in terms of, for, from the viewpoint of, from a ... standpoint, as far as ... is concerned<br>5. Mr., Ms., Mrs.",N1,4,驚異<b>的</b>なトリックを使うらしい,He seems to use some amazing tricks.,"#04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #11 PART キング VS ザコ.ja"
マネ,マネ,Mane,Unlabeled,4,<b>マネ</b>するな！,Don't try to imitate me!,"#04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja"
筋,すじ,"1. muscle, tendon, sinew<br>2. vein, artery<br>3. fiber, fibre, string<br>4. line, stripe, streak<br>5. reason, logic<br>6. plot, storyline<br>7. lineage, descent<br>8. school (e.g. of scholarship or arts)<br>9. aptitude, talent<br>10. source (of information, etc.), circle, channel<br>11. well-informed person (in a transaction)<br>12. logical move (in go, shogi, etc.)<br>13. ninth vertical line<br>14. seam on a helmet<br>15. gristly fish paste (made of muscle, tendons, skin, etc.)<br>16. social position, status<br>17. on (a river, road, etc.), along<br>18. counter for long thin things, counter for roads or blocks when giving directions<br>19. (Edo period) counter for hundreds of mon (obsolete unit of currency)",N3,4,脳<b>筋</b>ゴリラが！,Brain muscle gorilla!,"#04 PART 愛のマタドール、愛抱夢.ja, #07 PART つりあわねーんだよ.ja, #09 PART あの時、俺たちは特別だった.ja"
アホ,あほ,"1. fool, idiot, simpleton",Unlabeled,4,暦が<b>アホ</b>なのは前からでしょ,The calendar has been stupid for a long time.,"#04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #11 PART キング VS ザコ.ja"
ハァ,はあはあ,"1. gasp, pant",Unlabeled,4,<b>ハァ</b>　ハァ…　うわっ,Ha ha ha... Wow,"#04 PART 愛のマタドール、愛抱夢.ja, #12 PART 俺たちの無限大!.ja"
姿,すがた,"1. figure, form, shape<br>2. appearance, dress, guise<br>3. state, condition, picture, image<br>4. form (of a waka)<br>5. dressed in ..., wearing ...",N3,4,最近は<b>姿</b>を見せなくなったが—,"He hasn't been seen lately, but...","#04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #09 PART あの時、俺たちは特別だった.ja"
病院,びょういん,"1. hospital, clinic, doctor's office, doctor's surgery, infirmary",N5,4,今は<b>病院</b>が先だろうが！,The hospital will come first now!,"#04 PART 愛のマタドール、愛抱夢.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
いただく,いただく,"1. to receive, to get, to accept, to take, to buy<br>2. to eat, to drink<br>3. to be crowned with, to wear (on one's head), to have (on top)<br>4. to have (as one's leader), to live under (a ruler), to install (a president)<br>5. to get somebody to do something",N4,4,おいしく<b>いただく</b>ためには—,To enjoy it deliciously-,"#04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #12 PART 俺たちの無限大!.ja"
次元,じげん,"1. dimension<br>2. perspective, point of reference, level (of something)",Unlabeled,4,<b>次元</b>が違いすぎる,Too different dimensions,"#04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #12 PART 俺たちの無限大!.ja"
倒す,たおす,"1. to throw down, to bring down, to blow down, to fell, to knock down, to set (something) down on its side, to turn (something) on its side, to recline (e.g. a seat)<br>2. to kill, to defeat, to beat<br>3. to overthrow, to trip up, to ruin<br>4. to leave unpaid, to cheat",N3,4,俺はアイツを<b>倒し</b>たい！,I want to defeat him!,"#04 PART 愛のマタドール、愛抱夢.ja, #09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja"
ぉおおお,ぉおおお,1. Oooooo (Auto-translated),Unlabeled,4,う<b>ぉおおお</b>～！,Woooooooo!,"#04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #11 PART キング VS ザコ.ja"
きっと,きっと,"1. surely, undoubtedly, almost certainly, most likely (e.g. 90 percent)<br>2. sternly, severely<br>3. having no slack, rigid, stiff, tight<br>4. suddenly, abruptly, instantly",N4,4,よかった　<b>きっと</b>僕たち,"Good, I'm sure we","#04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
あんなに,あんなに,"1. to that extent, to that degree, so much, so",N3,4,でも　<b>あんなに</b>,But like that,"#05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
まったく,まったく,"1. really, truly, entirely, completely, wholly, perfectly<br>2. indeed<br>3. good grief",Unlabeled,4,いえ　<b>まったく</b>存じません,"No, I don't know at all","#05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
休む,やすむ,"1. to be absent, to take a day off<br>2. to rest, to have a break<br>3. to go to bed, to (lie down to) sleep, to turn in, to retire<br>4. to stop doing some ongoing activity for a time, to suspend business",N5,4,急に<b>休ん</b>で　すみませんでした！,I'm sorry for taking a sudden break!,"#05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
超,ちょう,"1. super-, ultra-, hyper-, extreme<br>2. extremely, really, totally, absolutely<br>3. over, more than",N1,4,《やっぱスケートって<b>超</b>楽しい！,《Skating is super fun!,"#05 PART 情熱のダンシングNight!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
うち,うち,Inside / While,N4,4,<b>うち</b>はイタリアンだ！,We are Italian!,"#05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
子ども,こども,1. child,Unlabeled,4,<b>子ども</b>である私が—,"As a child, I...","#05 PART 情熱のダンシングNight!.ja, #10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
君たち,きみたち,"1. you (plural), all of you, you all",Unlabeled,4,今日は<b>君たち</b>に—,Today for you...,"#05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #09 PART あの時、俺たちは特別だった.ja"
続ける,つづける,"1. to continue, to keep up, to keep on",N4,4,保ち<b>続ける</b>とか　不可能でしょ,It's impossible to keep it that way.,"#05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
きた,きた,"1. north<br>2. the North, northern territories<br>3. North Korea<br>4. north wind",Unlabeled,4,≪<b>きた</b>きた～！,≪It’s here!,"#05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #12 PART 俺たちの無限大!.ja"
踊る,おどる,1. to dance (orig. a hopping dance),N4,4,僕と<b>踊ろ</b>う！,Let's dance with me!,"#05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja"
来れる,来れる,1. I can come (Auto-translated),Unlabeled,4,な　な　なんでついて<b>来れ</b>んだよ!?,Why can't you follow me!?,"#05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #12 PART 俺たちの無限大!.ja"
声,こえ,"1. voice<br>2. singing (of a bird), chirping (of an insect), hoot<br>3. voice, opinion (as expressed in words), view, wish, attitude, will<br>4. sound<br>5. sense (of something's arrival), feeling<br>6. voice, voiced sound",N5,4,MIYAの<b>声</b>だ！,It’s MIYA’s voice!,#06 PART 湯けむりミステリースケート？!.ja
置く,おく,"1. to put, to place<br>2. to leave (behind)<br>3. to establish (an organization, a facility, a position, etc.), to set up<br>4. to appoint (someone to a certain position), to hire, to employ<br>5. to place (one's trust, one's faith, etc.), to bear (in mind, etc.)<br>6. to put down a tool (e.g. a pen) hence stopping what one is doing with that tool<br>7. to take in (boarders, etc.), to provide lodging in one's house<br>8. to separate spatially or temporally<br>9. to do something in advance<br>10. to leave something in a certain state, to keep something in a certain state",N5,4,仮面の下に<b>置い</b>てきた！,I left it under the mask!,#06 PART 湯けむりミステリースケート？!.ja
道,みち,"1. road, path, street, lane, passage<br>2. route, way<br>3. distance, journey<br>4. road (e.g. to victory), course<br>5. way (of living, proper conduct, etc.), moral principles<br>6. teachings (esp. Confucian or Buddhist), dogma<br>7. field (e.g. of medicine), subject, speciality<br>8. means, way, method",N5,4,どの<b>道</b>を通るかは自由だ,You are free to choose which path to take,#06 PART 湯けむりミステリースケート？!.ja
おじさん,おじさん,"1. uncle<br>2. old man, mister<br>3. manybar goatfish (Parupeneus multifasciatus)",Unlabeled,4,<b>おじさん</b>じゃない　俺は若者だ！,"I'm not an old man, I'm a young man!","#06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
飲む,のむ,"1. to drink, to gulp, to swallow, to take (medicine)<br>2. to smoke (tobacco)<br>3. to engulf, to overwhelm<br>4. to keep down, to suppress<br>5. to accept (e.g. demand, condition)<br>6. to make light of, to conceal",N5,4,今夜は吐くまで<b>飲む</b>ぞ～！,I'm going to drink until I puke tonight!,"#06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #12 PART 俺たちの無限大!.ja"
読む,よむ,"1. to read<br>2. to count<br>3. to guess, to predict, to read (someone's thoughts), to see (e.g. into someone's heart), to divine",N5,4,雨が降るのを<b>読ん</b>でたってこと？,Did you mean you were reading about it raining?,"#06 PART 湯けむりミステリースケート？!.ja, #11 PART キング VS ザコ.ja"
地図,ちず,1. map,N5,4,女将に<b>地図</b>をもらった,I got a map from the landlady.,#06 PART 湯けむりミステリースケート？!.ja
問う,とう,"1. to ask, to inquire<br>2. to blame (someone) for, to accuse of, to pursue (question of responsibility), to charge with<br>3. to care about, to regard as important<br>4. to call into question, to doubt, to question",N1,4,僕も偽証罪を<b>問わ</b>れることになる,I will also be charged with perjury.,"#06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #12 PART 俺たちの無限大!.ja"
のる,のる,"1. to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark<br>2. to get on (e.g. a footstool), to step on, to jump on, to sit on, to mount<br>3. to reach, to go over, to pass<br>4. to follow, to stay (on track), to go with (the times, etc.)<br>5. to take part, to participate, to join<br>6. to get into the swing (and sing, dance, etc.)<br>7. to be deceived, to be taken in<br>8. to be carried, to be spread, to be scattered<br>9. to stick, to attach, to take, to go on",Unlabeled,4,≪<b>のっ</b>た！,≪I got on it!,"#06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
泥,どろ,"1. mud, slush, (wet) dirt, mire<br>2. thief",N3,4,<b>泥</b>を塗ることになるのですよ,You're going to have to smear yourself with mud.,"#06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #12 PART 俺たちの無限大!.ja"
くさる,くさる,"1. to rot, to go bad, to decay, to spoil, to fester, to decompose, to turn sour (e.g. milk)<br>2. to corrode, to weather, to crumble<br>3. to become useless, to blunt, to weaken (from lack of practice)<br>4. to become depraved, to be degenerate, to be morally bankrupt, to be corrupt<br>5. to be depressed, to be dispirited, to feel discouraged, to feel down<br>6. to have the audacity to, to be bastard enough to<br>7. to lose a bet<br>8. to be drenched, to become sopping wet",Unlabeled,4,いったい何が！　<b>くさっ</b>！,What on earth! Damn it!,#06 PART 湯けむりミステリースケート？!.ja
昔,むかし,"1. olden days, former",N4,4,お前は<b>昔</b>から,you have been for a long time,"#06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #09 PART あの時、俺たちは特別だった.ja"
奪う,うばう,"1. to snatch away, to dispossess, to steal",N3,4,私は<b>奪お</b>うとしている,i'm trying to steal,"#07 PART つりあわねーんだよ.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
僕ら,ぼくら,1. we,Unlabeled,4,高いよ　<b>僕ら</b>の中でも一番にね,"It's expensive, the most expensive among us.","#07 PART つりあわねーんだよ.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
引く,ひく,"1. to pull, to tug, to lead (e.g. a horse)<br>2. to draw (attention, sympathy, etc.), to attract (e.g. interest)<br>3. to draw back (e.g. one's hand), to draw in (one's chin, stomach, etc.), to pull in<br>4. to draw (a card, mahjong tile, etc.)<br>5. to draw (a line, plan, etc.)<br>6. to catch (a cold)<br>7. to play (a stringed or keyboard instrument)<br>8. to look up (in a dictionary, phone book, etc.), to consult, to check<br>9. to haul, to pull (vehicles)<br>10. to subtract, to deduct<br>11. to recede, to ebb, to fade<br>12. to be descend from, to inherit (a characteristic)<br>13. to quote, to cite, to raise (as evidence)<br>14. to lay on (electricity, gas, etc.), to install (e.g. a telephone), to supply (e.g. water)<br>15. to hold (e.g. a note)<br>16. to apply (e.g. lipstick), to oil (e.g. a pan), to wax (e.g. a floor)<br>17. to move back, to draw back, to recede<br>18. to lessen, to subside, to ebb, to go down (e.g. of swelling)<br>19. to resign, to retire, to quit",N5,4,どんな状況でも腰が<b>引か</b>ず,"No matter what the situation, don't let your back drop","#07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
今回,こんかい,"1. this time, now",N3,4,<b>今回</b>のことで貸しを作れば—,If I make up my mind about this time...,"#07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #12 PART 俺たちの無限大!.ja"
なあ,なあ,"1. hey, say, look",Unlabeled,4,話すような子じゃないし<b>なあ</b>,He's not the kind of kid to talk.,"#07 PART つりあわねーんだよ.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
確かめる,たしかめる,"1. to ascertain, to check, to make sure",N3,4,俺が<b>確かめる</b>,I'll make sure,"#07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
二,に,1. two,N5,4,さぁ　行こう　<b>二</b>人の世界へ！,Let's go to our world!,"#08 PART 宿命のトーナメント!.ja, #12 PART 俺たちの無限大!.ja"
