Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image,WordAudio,SentenceAudio
引き受ける,ひきうける,"1. to take on, to undertake, to accept, to take charge of, to assume responsibility for<br>2. to take over, to inherit<br>3. to guarantee, to vouch for<br>4. to contract (a disease)",N1,3,君は ヨダレ垂らして <b>引き受け</b>てくれるんだろう？,"You'll be drooling and accept the job, right?","S01E01, S01E05",,[sound:Beastars_word_a1b71818.mp3],[sound:Beastars_sent_6c89e243.mp3]
だいぶ,だいぶ,"1. considerably, greatly, a lot",Unlabeled,3,<b>だいぶ</b> いいです,It's pretty good,"S01E01, S01E05, S01E11",,[sound:Beastars_word_11159ab8.mp3],[sound:Beastars_sent_939100b7.mp3]
活動,かつどう,"1. activity (of a person, organization, animal, volcano, etc.), action<br>2. movie (esp. during the silent movie period)",N3,3,役者長の命令だ ２匹とも しばらく<b>活動</b>停止だ,This is an order from the head actor. Both animals will be suspended for a while.,"S01E01, S01E05, S01E06",,[sound:Beastars_word_e1ba21d7.mp3],[sound:Beastars_sent_ba598f2a.mp3]
以来,いらい,"1. since, henceforth",N3,3,“裏市”を 目の当たりにして<b>以来</b>―,"Ever since I witnessed the ""back market""...","S01E01, S01E07, S01E10",,[sound:Beastars_word_a46dac0a.mp3],[sound:Beastars_sent_ebcf7c25.mp3]
音,おと,"1. sound, noise, report<br>2. note<br>3. fame<br>4. Chinese-derived character reading",N4,3,<b>音</b>と気泡で メッセージの やり取りをします,Exchange messages using sound and bubbles,"S01E02, S01E07, S01E11",,[sound:Beastars_word_bec69dd9.mp3],[sound:Beastars_sent_77f4fdfd.mp3]
動く,うごく,"1. to move, to stir, to shift, to shake, to swing<br>2. to operate, to run, to go, to work<br>3. to make a move, to take action, to act, to go into action<br>4. to be touched, to be influenced<br>5. to change, to vary, to fluctuate, to waver<br>6. to be transferred",N4,3,あまりにも<b>動か</b>ないから 死んじゃったのかと,I thought he was dead because he didn't move so much.,"S01E02, S01E09, S01E11",,[sound:Beastars_word_c8dae572.mp3],[sound:Beastars_sent_8711337a.mp3]
柔らかい,やわらかい,"1. soft, tender, pliant, supple, limber, limp<br>2. gentle, mild, mellow<br>3. informal, light, flexible (e.g. thinking)",N4,3,<b>柔らかい</b>けど たまに奥が硬い,Soft but sometimes hard inside,"S01E02, S01E11",,[sound:Beastars_word_4175df0c.mp3],[sound:Beastars_sent_fef9eff1.mp3]
喜ぶ,よろこぶ,"1. to be delighted, to be glad, to be pleased<br>2. to congratulate<br>3. to gratefully accept",N4,3,まっ 君がただ楽しそうに 踊っていれば 男は<b>喜ぶ</b>だろうし,"Well, if you just dance happily, the man will be happy.","S01E02, S01E08",,[sound:Beastars_word_78e987c7.mp3],[sound:Beastars_sent_e07f6560.mp3]
消える,きえる,"1. to go out, to vanish, to disappear",N5,3,さあ お前も 朝露と共に<b>消える</b>がいい,"Now, you too, disappear with the morning dew.","S01E02, S01E04",,[sound:Beastars_word_a1d08746.mp3],[sound:Beastars_sent_86d7d3cc.mp3]
楽しみ,たのしみ,"1. enjoyment, pleasure, diversion, amusement, hobby<br>2. anticipation, looking forward to",N4,3,みんなが<b>楽しみ</b>にしてんのは 最終日の点灯式だもん,What everyone is looking forward to is the lighting ceremony on the final day.,"S01E02, S01E04, S01E05",,[sound:Beastars_word_b9f5dd60.mp3],[sound:Beastars_sent_ac85524b.mp3]
噛み,かみきる,"1. to bite off, to gnaw through",Unlabeled,3,ひと<b>噛み</b>でいけよ,Just take a bite,"S01E02, S01E06",,[sound:Beastars_word_66d59fe8.mp3],[sound:Beastars_sent_10e0eb91.mp3]
先,さっき,"1. a short while ago, a moment ago, just now, some time ago",N5,3,レゴシ ここは任せて<b>先</b>に行け,"Legosi, leave this to me and go ahead.","S01E02, S01E10, S01E11",,[sound:Beastars_word_27250da8.mp3],[sound:Beastars_sent_43774fbb.mp3]
作る,つくる,"1. to make, to produce, to manufacture, to build, to construct<br>2. to prepare (food), to brew (alcohol)<br>3. to raise, to grow, to cultivate, to train<br>4. to till<br>5. to draw up (a document), to make out, to prepare, to write<br>6. to create (an artistic work, etc.), to compose<br>7. to coin (a phrase), to organize, to organise, to establish, to found<br>8. to have (a child)<br>9. to make up (one's face, etc.)<br>10. to fabricate (an excuse, etc.)<br>11. to give a (false) appearance, to feign (a smile, etc.), to put on a show of emotion<br>12. to form (a line, etc.)<br>13. to set (a record)<br>14. to commit (a sin, etc.)",N5,3,マジでメガネ <b>作ん</b>なきゃ,I seriously need to make glasses,"S01E02, S01E03, S01E10",,[sound:Beastars_word_77cf2429.mp3],[sound:Beastars_sent_586d5f05.mp3]
昨夜,ゆうべ,"1. evening<br>2. last night, yesterday evening",N5,3,<b>昨夜</b>のホテルでの出来事でも レゴシ君 傷ついたでしょ,"Legoshi-kun, you were hurt by what happened at the hotel last night.","S01E02, S01E12",,[sound:Beastars_word_6b758fc6.mp3],[sound:Beastars_sent_1517fd0d.mp3]
握る,にぎる,"1. to clasp, to grasp, to grip, to clutch<br>2. to make (nigirizushi, rice ball, etc.), to form, to press into shape, to mold, to mould<br>3. to seize (power, etc.), to take hold of",N3,3,あたくし 彼の秘密を １つ<b>握っ</b>ているんですの,I'm in possession of one of his secrets.,"S01E02, S01E07, S01E08",,[sound:Beastars_word_b083d2fd.mp3],[sound:Beastars_sent_32336e98.mp3]
謝る,あやまる,"1. to apologize, to apologise",N4,3,一体 どの面 下げて <b>謝り</b>に来たんだ？,How on earth did you come to apologize?,"S01E02, S01E05",,[sound:Beastars_word_0d14f414.mp3],[sound:Beastars_sent_f61e0ec2.mp3]
でかい,でかい,"1. huge, big, gargantuan",N1,3,<b>でかい</b> ずうたいで 俺なら勝てるとでも思ったか,"You're so big and so brave, you thought I could win?","S01E02, S01E07, S01E10",,[sound:Beastars_word_a68140ad.mp3],[sound:Beastars_sent_b014bf15.mp3]
落とす,おとす,"1. to drop, to lose, to let fall, to shed (light), to cast (one's gaze), to pour in (liquid), to leave behind<br>2. to clean off (dirt, makeup, paint, etc.), to remove (e.g. stains or facial hair), to lose, to spend money at a certain place, to omit, to leave out, to secretly let escape<br>3. to lose (a match), to reject (an applicant), to fail (a course), to defeat (in an election)<br>4. to lower (e.g. shoulders or voice), to lessen (e.g. production or body weight), to worsen (quality), to reduce (e.g. rank or popularity), to speak badly of, to make light of, to fall into straitened circumstances<br>5. to fall into (e.g. a dilemma or sin), to make one's own, to have one's bid accepted, to force surrender, to take (e.g. an enemy camp or castle), to forcefully convince, to press for a confession, to deal with<br>6. to download, to copy from a computer to another medium<br>7. to make someone swoon (judo)<br>8. to finish a story (e.g. with the punch line)<br>9. to finish (a period, e.g. of fasting)",N1,3,夜更かしは卵の質を <b>落とし</b>かねませんもの,Staying up late can reduce the quality of your eggs.,"S01E02, S01E07",,[sound:Beastars_word_34261075.mp3],[sound:Beastars_sent_bf605e64.mp3]
性格,せいかく,"1. character (of a person), personality, disposition, nature<br>2. characteristics, nature (of a thing, event, etc.)",N3,3,哺乳類でクマ科 大きさも<b>性格</b>も ヒグマと変わらないが―,"It is a mammal of the bear family, and is similar in size and personality to a brown bear.","S01E02, S01E04, S01E06",,[sound:Beastars_word_eac170cd.mp3],[sound:Beastars_sent_9cddbc5d.mp3]
集める,あつめる,"1. to collect, to assemble, to gather",N4,3,人望も そうやって こつこつと<b>集め</b>なきゃなんねえ,That's how you have to diligently gather popularity.,"S01E02, S01E06, S01E08",,[sound:Beastars_word_ef88dfe2.mp3],[sound:Beastars_sent_7fe25edf.mp3]
大した,たいした,"1. considerable, great, important, significant, a big deal",N3,3,さすが ポイント稼ぎの腕は <b>大した</b>もんだな,"As expected, you're really good at earning points.","S01E02, S01E09, S01E12",,[sound:Beastars_word_b1dc2300.mp3],[sound:Beastars_sent_1a47fbdb.mp3]
オーケー,オッケー,"1. OK, okay",N1,3,一幕 第５場 <b>オーケー</b>です,Act 1 Scene 5 Okay.,"S01E02, S01E03, S01E09",,[sound:Beastars_word_07582786.mp3],[sound:Beastars_sent_6905ad29.mp3]
体調,たいちょう,"1. physical condition, state of health",Unlabeled,3,少し動きが鈍い <b>体調</b>とか どうだ？,Your movements are a little slow. How are you feeling?,"S01E02, S01E06",,[sound:Beastars_word_656b70ad.mp3],[sound:Beastars_sent_3f747c4c.mp3]
平気,へいき,"1. coolness, calmness, composure, unconcern<br>2. all right, fine, OK, okay",N2,3,別に<b>平気</b>だ,I'm fine.,"S01E02, S01E08, S01E11",,[sound:Beastars_word_af4a6d9c.mp3],[sound:Beastars_sent_48c022be.mp3]
新入生,しんにゅうせい,"1. new student, freshman, first-year student",N1,3,<b>新入生</b>歓迎会に使う花を もらいに来たのかと思ったけど,I thought you came to get flowers for the welcome party for new students.,"S01E02, S01E03",,[sound:Beastars_word_27a7363d.mp3],[sound:Beastars_sent_0013ddc8.mp3]
演じる,えんじる,"1. to perform (a play), to play (a part), to act (a part), to commit (a blunder)",N1,3,草食の俺が アドラーを<b>演じる</b>こと,"Me, a herbivore, playing Adler","S01E02, S01E04",,[sound:Beastars_word_430ee5ea.mp3],[sound:Beastars_sent_132d386b.mp3]
シカ,しか,"1. deer (esp. the sika deer, Cervus nippon), cervid",Unlabeled,3,<b>シカ</b>のルイさんが 強きアドラーを演じることの意味,What does it mean for Louis the deer to play the strong Adler?,"S01E02, S01E03, S01E04",,[sound:Beastars_word_9d717019.mp3],[sound:Beastars_sent_33b782c5.mp3]
てく,てく,1. to continue,Unlabeled,3,園芸部に花もらいに行っ<b>てっ</b>て 話してたの,I was talking about going to the gardening club to get some flowers.,"S01E02, S01E08, S01E10",,[sound:Beastars_word_ba98f5be.mp3],[sound:Beastars_sent_b4b37c03.mp3]
ドア,ドア,"1. door (Western-style, car, etc.)",N5,3,会場や<b>ドア</b>にも飾りをしたいの,I want to decorate the venue and the doors as well.,"S01E02, S01E04, S01E08",,[sound:Beastars_word_baab7051.mp3],[sound:Beastars_sent_74635170.mp3]
協力,きょうりょく,"1. cooperation, collaboration",N3,3,あんた 少し <b>協力</b> 仰いできてよ,I need your help a little bit.,"S01E02, S01E03",,[sound:Beastars_word_9d35f540.mp3],[sound:Beastars_sent_80a6b478.mp3]
上手,じょうず,"1. skillful, skilled, proficient, good (at), adept, clever<br>2. flattery",N5,3,コミュニケーション<b>上手</b>に ならなきゃ,Must be good at communicating,"S01E02, S01E04, S01E09",,[sound:Beastars_word_e204bed9.mp3],[sound:Beastars_sent_cc8c8636.mp3]
トイレ,トイレ,"1. toilet, restroom, bathroom, lavatory",N5,3,もう <b>トイレ</b>にまで ついてくるなんて,I can't believe he's already following me to the toilet.,"S01E02, S01E04, S01E08",,[sound:Beastars_word_8544ed11.mp3],[sound:Beastars_sent_74ca9f8e.mp3]
会話,かいわ,1. conversation,N4,3,怖がるどころか <b>会話</b>する権利すら 本当はないのに,"Far from being scared, I don't even have the right to have a conversation.","S01E02, S01E05",,[sound:Beastars_word_098eb2e3.mp3],[sound:Beastars_sent_d40870aa.mp3]
頭,とう,"1. counter for large animals (e.g. head of cattle), counter for insects in a collection, counter for helmets, masks, etc.",N5,3,こんなに<b>頭</b>が遠いのか,Are you this far away?,"S01E02, S01E10",,[sound:Beastars_word_917540c6.mp3],[sound:Beastars_sent_445d4b44.mp3]
さらす,さらす,"1. to expose (to the sun, public, danger, etc.)<br>2. to bleach, to refine<br>3. to rinse (vegetables), to soak<br>4. to doxx, to dox, to make someone's private information public without permission (esp. online)<br>5. to sentence someone to public humiliation",Unlabeled,3,ハルちゃんが今 どんな危険に <b>さらさ</b>れてるか,What kind of danger is Haru-chan now exposed to?,"S01E02, S01E05, S01E09",,[sound:Beastars_word_8ddf20cb.mp3],[sound:Beastars_sent_46937260.mp3]
救う,すくう,"1. to rescue from, to help out of, to save",N3,3,レゴシ先輩が シシ組から ウサギを<b>救っ</b>たって,Legoshi-senpai saved a rabbit from Shishi-gumi.,"S01E02, S01E11, S01E12",,[sound:Beastars_word_6946c72e.mp3],[sound:Beastars_sent_ad11b9dd.mp3]
あそこ,アソコ,Over there,N5,3,<b>あそこ</b>から バラをもらうのは やめよう,Let's stop getting roses from there.,"S01E02, S01E03",,[sound:Beastars_word_0b97164b.mp3],[sound:Beastars_sent_befc2e52.mp3]
あんまり,あまり,"1. remainder, remnant, rest, balance, surplus, remains (of a meal), leftovers<br>2. (not) very, (not) much<br>3. too much, excessively, overly<br>4. extreme, great, severe, tremendous, terrible<br>5. more than, over",N3,3,行くけど <b>あんまり</b>急がないでくれよ,"I'll go, but don't be in too much of a hurry.","S01E02, S01E12",,[sound:Beastars_word_9ad111e7.mp3],[sound:Beastars_sent_9963ab76.mp3]
気分,きぶん,"1. feeling, mood",N4,3,オオカミは夜行性だから 少し暗いほうが<b>気分</b>がいいんです,"Wolves are nocturnal, so they feel better in the dark.","S01E02, S01E08",,[sound:Beastars_word_7789eccc.mp3],[sound:Beastars_sent_14058a32.mp3]
乗る,のる,"1. to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark<br>2. to get on (e.g. a footstool), to step on, to jump on, to sit on, to mount<br>3. to reach, to go over, to pass<br>4. to follow, to stay (on track), to go with (the times, etc.)<br>5. to take part, to participate, to join<br>6. to get into the swing (and sing, dance, etc.)<br>7. to be deceived, to be taken in<br>8. to be carried, to be spread, to be scattered<br>9. to stick, to attach, to take, to go on",N5,3,クソッ 調子に<b>乗り</b>やがって,"Shit, you got carried away.","S01E02, S01E08, S01E10",,[sound:Beastars_word_612fd30f.mp3],[sound:Beastars_sent_f71bf70f.mp3]
楽しむ,たのしむ,1. to enjoy (oneself),N1,3,多少 手荒でも 私 ちゃんと<b>楽しむ</b>わ,"Even if it's a little rough, I'll enjoy it properly.","S01E02, S01E04, S01E09",,[sound:Beastars_word_473504c0.mp3],[sound:Beastars_sent_01e7e35f.mp3]
餌食,えじき,"1. prey, victim",Unlabeled,3,<b>餌食</b>って そんな… ウサギでしょ,"Prey is like... a rabbit, right?",S01E03,,[sound:Beastars_word_cdffa4e2.mp3],[sound:Beastars_sent_a950647e.mp3]
引っかかる,ひっかかる,"1. to be caught in, to be stuck in<br>2. to stop by, to drop in for a short visit, to be delayed, to take time<br>3. to get mixed up in (trouble), to get entangled in (a problem), to be involved with<br>4. to fall for (a trick), to be deceived, to be cheated<br>5. to be on one's mind, to worry one, to be bothered by, to feel uneasy<br>6. to be obstructed, to be hindered<br>7. to splash",Unlabeled,3,お前なんて <b>引っかかっ</b>たら 丸のみにされて―,"If you get caught, you'll be swallowed whole...",S01E03,,[sound:Beastars_word_2b6edc39.mp3],[sound:Beastars_sent_91afd7bb.mp3]
丸のみ,まるのみ,"1. swallowing whole, swallowing without chewing<br>2. taking something in without fully understanding it<br>3. accepting without reservation, accepting something as-is",Unlabeled,3,お前なんて 引っかかったら <b>丸のみ</b>にされて―,"If you get caught, you'll be swallowed whole...",S01E03,,[sound:Beastars_word_35a5a8fd.mp3],[sound:Beastars_sent_91afd7bb.mp3]
ミズチ,みずちどり,1. Platanthera hologlottis (species of orchid),Unlabeled,3,<b>ミズチ</b>にバレたら 絶対 殺される,"If Mizuchi finds out, he'll definitely kill me.",S01E03,,[sound:Beastars_word_5479f979.mp3],[sound:Beastars_sent_1adcb928.mp3]
緊張,きんちょう,"1. tension, mental strain, nervousness",N3,3,でも こんなに<b>緊張</b>してるの 初めて,But this is the first time I've been this nervous.,"S01E03, S01E11",,[sound:Beastars_word_a1ffa9bb.mp3],[sound:Beastars_sent_9e3b5cfa.mp3]
リラックス,リラックス,1. relax,Unlabeled,3,“同種族で触れ合うと 心の<b>リラックス</b>につながる”って,“Interacting with people of the same species leads to mental relaxation.”,"S01E03, S01E07, S01E12",,[sound:Beastars_word_86342d95.mp3],[sound:Beastars_sent_65a3fc88.mp3]
例えば,たとえば,"1. for example, for instance, e.g.",N4,3,<b>例えば</b> 小動物の女生徒に やたら関心を持っていたり,"For example, I was very interested in a female student who was a small animal.","S01E03, S01E11",,[sound:Beastars_word_91a3c41d.mp3],[sound:Beastars_sent_b6d396a6.mp3]
刺す,さす,"1. to pierce, to stab, to prick, to stick, to thrust<br>2. to sting, to bite<br>3. to sew, to stitch, to embroider<br>4. to pole (a boat)<br>5. to catch (with a limed pole)<br>6. to put (a runner) out, to pick off",N2,3,あのウサギ さらったこの手で とどめ<b>刺し</b>てやる,I'll kill that rabbit with the hands I kidnapped.,"S01E03, S01E09, S01E10",,[sound:Beastars_word_e174756d.mp3],[sound:Beastars_sent_695a5169.mp3]
える,うる,"1. to be able to ..., can ...<br>2. to get, to acquire, to obtain, to procure, to earn, to win, to gain, to secure, to attain",Unlabeled,3,まあ… 話 聞いてると それはあり<b>え</b>ますね,"Well... from what I've heard, it seems possible.","S01E03, S01E08, S01E10",,[sound:Beastars_word_dc985151.mp3],[sound:Beastars_sent_21d50d48.mp3]
方,かた,"1. direction, way<br>2. person, lady, gentleman<br>3. method of, manner of, way of<br>4. care of ...<br>5. person in charge of ...<br>6. side (e.g. ""on my mother's side"")",N5,3,あと30分 帰りが遅かったら 先生<b>方</b>に報告してましたよ,I would have reported it to the teachers if I had been home late for another 30 minutes.,"S01E03, S01E09, S01E12",,[sound:Beastars_word_4a5ff677.mp3],[sound:Beastars_sent_04745bcc.mp3]
期待,きたい,"1. expectation, anticipation, hope<br>2. promising, rising, up-and-coming",N3,3,今年度の演劇部の活躍にも <b>期待</b>しているよ,I have high hopes for the drama club's success this year.,"S01E03, S01E05",,[sound:Beastars_word_8f694c7f.mp3],[sound:Beastars_sent_9d23e7e0.mp3]
スカウト,スカウト,"1. (talent) scout, recruiter, headhunter<br>2. scouting, headhunting<br>3. Boy Scouts, Girl Scouts",Unlabeled,3,顧問に<b>スカウト</b>された時は 驚いただろう,I must have been surprised when I was scouted by an advisor.,S01E03,,[sound:Beastars_word_784471c9.mp3],[sound:Beastars_sent_b628cd92.mp3]
ハハッ,ハハッ,1. Haha (Auto-translated),Unlabeled,3,プッ <b>ハハッ</b> ダダこねるなよ,Puh haha Dada don't knead,"S01E03, S01E05, S01E09",,[sound:Beastars_word_35d3667b.mp3],[sound:Beastars_sent_b920b1e3.mp3]
シイラ,しいら,"1. mahi-mahi (Coryphaena hippurus), common dolphinfish, dolphin, dorado",Unlabeled,3,入部した日に <b>シイラ</b>先輩から聞いたんです,I heard this from Shiira-senpai the day I joined the club.,"S01E03, S01E06, S01E08",,[sound:Beastars_word_e4f7581c.mp3],[sound:Beastars_sent_19da5cdd.mp3]
瞬間,しゅんかん,"1. moment, second, instant",N3,3,あれは恐らく 俺が生まれて初めて オスとして扱われた<b>瞬間</b>だった,That was probably the first time in my life that I was treated as a male.,"S01E03, S01E11",,[sound:Beastars_word_bb8fecc6.mp3],[sound:Beastars_sent_4b3b162e.mp3]
捨てる,すてる,"1. to throw away, to cast away, to dump, to discard<br>2. to abandon, to desert, to leave<br>3. to give up, to resign",N4,3,ちなみに俺は 生まれた瞬間に 両親に<b>捨て</b>られて―,"By the way, I was abandoned by my parents the moment I was born...","S01E03, S01E06, S01E11",,[sound:Beastars_word_1b30f525.mp3],[sound:Beastars_sent_45108fc3.mp3]
秘密,ひみつ,"1. secret, secrecy, confidentiality, privacy<br>2. mystery<br>3. secret (e.g. to success)<br>4. esoteric teachings",N3,3,誰にも言えない<b>秘密</b>が あるのだろうか,Is there a secret that you can't tell anyone?,"S01E03, S01E07, S01E08",,[sound:Beastars_word_062a2931.mp3],[sound:Beastars_sent_4cfe0047.mp3]
アップ,アップ,"1. increasing<br>2. uploading, posting (e.g. content), putting online<br>3. close-up<br>4. finishing shooting (of a film, etc.)<br>5. upswept hairstyle<br>6. being up (i.e. leading in sports)<br>7. warming up<br>8. being over, being finished",N1,3,公演初日で ルイの顔の <b>アップ</b>を撮ってくること,To take a close-up of Louis' face on the first day of the performance.,"S01E03, S01E04",,[sound:Beastars_word_2475f193.mp3],[sound:Beastars_sent_7fddade9.mp3]
おめえ,おまえ,"1. you<br>2. presence (of a god, nobleman, etc.)",Unlabeled,3,<b>おめえ</b> あんなとこ行って 無駄死にするくらいなら―,"Hey, I'd rather go there and die in vain...","S01E03, S01E10, S01E11",,[sound:Beastars_word_1cfef17f.mp3],[sound:Beastars_sent_734c5bad.mp3]
結局,けっきょく,"1. after all, in the end, ultimately, eventually<br>2. conclusion, end<br>3. end of a game of go, shogi, etc.",N3,3,<b>結局</b>は捕食される側の 体でしかないことも,"In the end, it may just be the body of the prey.","S01E03, S01E12",,[sound:Beastars_word_9a301754.mp3],[sound:Beastars_sent_24bffd72.mp3]
出来上がる,できあがる,"1. to be completed, to be finished, to be ready (e.g. to serve or eat)<br>2. to be very drunk",N2,3,その頃には もうほぼ 新聞 <b>出来上がっ</b>てるんじゃないの？,"By then, the newspaper will have almost been completed, right?","S01E03, S01E07, S01E08",,[sound:Beastars_word_b749e8e9.mp3],[sound:Beastars_sent_ba9c10f1.mp3]
マシ,まし,"1. better, preferable, less objectionable, least-worst<br>2. more, increase, extra<br>3. increase, growth",Unlabeled,3,怠けるよりは<b>マシ</b>でしょ,"It's better than being lazy, right?","S01E03, S01E06, S01E10",,[sound:Beastars_word_2218eecb.mp3],[sound:Beastars_sent_6018ab1a.mp3]
今さら,いまさら,"1. now (when it is already much too late), at this stage<br>2. afresh, anew, again",Unlabeled,3,もう <b>今さら</b> 私の前で カッコつけたってムダ,It's no use trying to be cool in front of me now.,"S01E03, S01E07, S01E08",,[sound:Beastars_word_a9f9ac2d.mp3],[sound:Beastars_sent_0659593f.mp3]
噛む,かむ,"1. to bite<br>2. to chew, to gnaw, to masticate<br>3. to fumble one's words (esp. during a play, broadcast, etc.), to falter with one's words, to stutter, to stammer<br>4. to crash against (e.g. of waves), to break onto (shore)<br>5. to engage (of cogs, zippers, etc.), to mesh, to fit together<br>6. to be involved in<br>7. to convince, to persuade",N4,3,<b>噛ん</b>でみろ レゴシ,"Chew it, Legosi.","S01E03, S01E10",,[sound:Beastars_word_67876b91.mp3],[sound:Beastars_sent_dc584dbd.mp3]
暑い,あつい,"1. hot, warm, sultry, heated<br>2. passionate, impassioned, burning (desire, etc.)<br>3. on everybody's mind, on the radar, du jour, interested (gaze, etc.)",N5,3,オオカミって<b>暑い</b>のと寒いの どっちに強いの？,"Which is better for wolves, hot or cold?","S01E03, S01E08, S01E11",,[sound:Beastars_word_6236e6c9.mp3],[sound:Beastars_sent_44fda350.mp3]
扱う,あつかう,"1. to deal with (a person), to treat, to handle, to take care of, to entertain<br>2. to deal with (a problem), to handle, to manage<br>3. to operate (e.g. a machine), to handle, to work<br>4. to deal in, to sell<br>5. to cover (a topic), to treat, to discuss, to take up<br>6. to treat A as B<br>7. to mediate (an argument)<br>8. to be too much for one, to find unmanageable<br>9. to gossip",N3,3,あれは恐らく 俺が生まれて初めて オスとして<b>扱わ</b>れた瞬間だった,That was probably the first time in my life that I was treated as a male.,"S01E03, S01E08, S01E10",,[sound:Beastars_word_bc17e607.mp3],[sound:Beastars_sent_4b3b162e.mp3]
歩ける,あるきつづける,1. to keep walking,Unlabeled,3,前に<b>歩ける</b>ような,I feel like I can walk forward,"S01E03, S01E11",,[sound:Beastars_word_0fab364b.mp3],[sound:Beastars_sent_28bb46d0.mp3]
失敗,しっぱい,"1. failure, mistake, blunder",N4,3,<b>失敗</b>は決して許されない,failure is never allowed,"S01E03, S01E05",,[sound:Beastars_word_37d266e0.mp3],[sound:Beastars_sent_1197ca1f.mp3]
リハーサル,リハーサル,1. rehearsal,Unlabeled,3,<b>リハーサル</b>は上出来だった,The rehearsal went well,"S01E03, S01E04, S01E08",,[sound:Beastars_word_908704c6.mp3],[sound:Beastars_sent_7e4a1a49.mp3]
特別,とくべつ,"1. special, particular, extraordinary, exceptional, especial",N4,3,恐竜は すべての動物の祖先であり 神でもある <b>特別</b>な存在でしょ,Dinosaurs are special beings who are the ancestors of all animals and are also gods.,"S01E03, S01E05, S01E12",,[sound:Beastars_word_9937d004.mp3],[sound:Beastars_sent_4dbf53fc.mp3]
言い聞かせる,いいきかせる,"1. to tell, to advise, to warn, to admonish, to reason, to persuade, to instruct",Unlabeled,3,まるで 自分に <b>言い聞かせ</b>てるみたいだった,It was like I was talking to myself,"S01E03, S01E09",,[sound:Beastars_word_03890e3f.mp3],[sound:Beastars_sent_36bba4a5.mp3]
絶え絶え,たえだえ,"1. feeble, faint",Unlabeled,3,息も<b>絶え絶え</b>で せっぱ詰まって 苦しいことばかり,"I'm out of breath, I'm stuck, it's just painful","S01E03, S01E07",,[sound:Beastars_word_1172e17a.mp3],[sound:Beastars_sent_e4d8e16e.mp3]
証明,しょうめい,"1. proof, testimony, demonstration, verification, certification",N3,3,心のリラックスにつながることが <b>証明</b>されてるんだ,It's been proven to help relax your mind.,"S01E03, S01E07, S01E12",,[sound:Beastars_word_ec80373f.mp3],[sound:Beastars_sent_67474a47.mp3]
面,おもて,1. face<br>2. surface<br>3. mask (esp. a noh or kyogen mask),N3,3,その“僕 惨めです”って<b>面</b>は,That “I’m miserable” side is,"S01E04, S01E05, S01E06",,[sound:Beastars_word_e0ce2334.mp3],[sound:Beastars_sent_c02fa80e.mp3]
大好き,だいすき,"1. loveable, very likeable, like very much",N5,3,お前 俺のこと <b>大好き</b>かよ,do you love me,"S01E04, S01E08",,[sound:Beastars_word_10880ae1.mp3],[sound:Beastars_sent_5319dd0e.mp3]
客,きゃく,"1. guest, visitor<br>2. customer, client, shopper, spectator, audience, tourist, sightseer, passenger<br>3. counter for containers used to entertain guests",N4,3,一番 <b>客</b>が入る金曜日に 売ることにしたのよ,"I decided to sell it on Fridays, when there are the most customers.","S01E04, S01E07",,[sound:Beastars_word_db52c272.mp3],[sound:Beastars_sent_7dc5a402.mp3]
もったい,もったい,"1. superior airs, air of importance<br>2. overemphasis",Unlabeled,3,だって <b>もったい</b>ぶって 言うことじゃないでしょ,"I don't mean to be arrogant, right?","S01E04, S01E05, S01E07",,[sound:Beastars_word_36b13590.mp3],[sound:Beastars_sent_e2ef7fb0.mp3]
とおり,とおり,"1. avenue, street, way, road<br>2. coming and going, street traffic<br>3. flow (of water, air, etc.)<br>4. transmission (of sound), reach (e.g. of voice)<br>5. fame, reputation, popularity<br>6. the same status or way, as (e.g. as expected, as I said)<br>7. understanding, comprehension<br>8. counter for sets of things, counter for methods, ways, types",Unlabeled,3,その<b>とおり</b>で すごくうれしい,"That's right, I'm very happy","S01E04, S01E06, S01E11",,[sound:Beastars_word_4a709d12.mp3],[sound:Beastars_sent_b41284a1.mp3]
忍ぶ,しのぶ,"1. to conceal oneself, to hide<br>2. to endure, to bear, to stand, to put up with",Unlabeled,3,ルイさんを見に来るのに <b>忍び</b>ないんですけど…,I can't bear to come see Louis...,S01E04,,[sound:Beastars_word_5373bdb1.mp3],[sound:Beastars_sent_e6c7f7b3.mp3]
哀れむ,あわれむ,"1. to pity, to feel sympathy for, to sympathize with, to sympathise with, to commiserate with, to have mercy on<br>2. to enjoy the beauty of, to appreciate, to admire",Unlabeled,3,あなただけは <b>哀れむ</b>ことも同情もせず,Only you don't feel pity or pity,"S01E04, S01E10",,[sound:Beastars_word_b9db59c5.mp3],[sound:Beastars_sent_50fd875a.mp3]
ハハハハッ,ハハハハッ,1. Hahahaha (Auto-translated),Unlabeled,3,<b>ハハハハッ</b> 不安なんすか 部長,Hahahaha Are you anxious? Manager,S01E04,,[sound:Beastars_word_56717eb6.mp3],[sound:Beastars_sent_34835c17.mp3]
いっそ,いっそ,"1. rather, sooner, preferably",N1,3,<b>いっそ</b>私の血も飲んでみろ,Why don't you drink my blood too?,"S01E04, S01E12",,[sound:Beastars_word_360d24c5.mp3],[sound:Beastars_sent_0393458a.mp3]
