Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image,WordAudio,SentenceAudio
てっきり,てっきり,"1. surely, certainly, without doubt",N1,3,なんだ <b>てっきり</b>ハブられてるのかと,"What, I'm clearly being hubbed.","S01E01, S01E03","<img src=""S01E01_00_16_00_209.jpg"">",[sound:Lucky Star_word_03ea42c4.mp3],[sound:Lucky Star_sent_eb096a4f.mp3]
版,はん,"1. edition, version, printing, impression, implementation (e.g. software)<br>2. plate, block, cast<br>3. editions of a publication",N1,3,風邪のスケールアップ<b>版</b>と 言えないこともないかも,It could be called a scaled-up version of the common cold.,"S01E01, S01E10","<img src=""S01E01_00_11_16_467.jpg"">",[sound:Lucky Star_word_39d567f3.mp3],[sound:Lucky Star_sent_825ed3c3.mp3]
一方,いっぽう,"1. one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party<br>2. on the one hand, on the other hand<br>3. whereas, although, but at the same time, meanwhile, in turn<br>4. just keeps, being inclined to ..., tending to be ..., tending to do ..., continuously ..., just keeps on ...ing, only",N3,3,どちらを選ぶかで悩むよね <b>一方</b>は持参金が多かったり,"I'm having a hard time deciding which one to choose, because one requires a lot of dowry.","S01E01, S01E03","<img src=""S01E03_00_08_42_021.jpg"">",[sound:Lucky Star_word_a0546508.mp3],[sound:Lucky Star_sent_86d737e3.mp3]
否定,ひてい,"1. denial, negation, repudiation, disavowal<br>2. negation (logic)<br>3. NOT operation",N3,3,つかさ 私がバカって部分 <b>否定</b>しなかったなって,"Tsukasa, you didn't deny the part that I was stupid.","S01E01, S01E11, S01E23","<img src=""S01E01_00_11_32_650.jpg"">",[sound:Lucky Star_word_03824032.mp3],[sound:Lucky Star_sent_83a3f408.mp3]
寝顔,ねがお,1. sleeping face,Unlabeled,3,<b>寝顔</b>のことは騒がしくならないよう 配慮した際の―,When I tried not to make a fuss about my sleeping face...,S01E01,"<img src=""S01E01_00_13_47_243.jpg"">",[sound:Lucky Star_word_fdde5d95.mp3],[sound:Lucky Star_sent_824b3f9a.mp3]
チェッ,チェ,"1. tsk, tut, shoot, dang<br>2. chirp",Unlabeled,3,<b>チェッ</b> ちょっと狙ってたのにな 「恋のエプロン」のエプロン,"Check, I was just looking at the apron from ""Apron of Love""","S01E01, S01E03, S01E04","<img src=""S01E03_00_01_59_619.jpg"">",[sound:Lucky Star_word_438f40ba.mp3],[sound:Lucky Star_sent_82ebbedd.mp3]
ウイルス,ウイルス,1. virus,Unlabeled,3,新型の<b>ウイルス</b>とか はやってるから 心配してくれてるのか,Are you worried because there is a new virus?,"S01E01, S01E04","<img src=""S01E01_00_12_14_358.jpg"">",[sound:Lucky Star_word_f16f2d47.mp3],[sound:Lucky Star_sent_5c586ba9.mp3]
予算,よさん,"1. estimate, budget",N3,3,これが各クラブの<b>予算</b>書と,This is each club's budget.,"S01E01, S01E16","<img src=""S01E01_00_13_16_712.jpg"">",[sound:Lucky Star_word_e18c54d4.mp3],[sound:Lucky Star_sent_dc0f399f.mp3]
暖かい,あたたかい,"1. warm, mild, (pleasantly) hot<br>2. considerate, kind, genial<br>3. warm (of a colour), mellow<br>4. having enough money",N5,3,そうですよね 今日は特に<b>暖かい</b>ですものね,"That's right, it's especially warm today.","S01E01, S01E14","<img src=""S01E01_00_14_30_911.jpg"">",[sound:Lucky Star_word_cb58fce4.mp3],[sound:Lucky Star_sent_daf223a0.mp3]
パジャマ,パジャマ,"1. pajamas, pyjamas",N1,3,すごくかわいいですね <b>パジャマ</b>には見えませんよ,"It's so cute, it doesn't look like pajamas",S01E01,"<img src=""S01E01_00_14_58_856.jpg"">",[sound:Lucky Star_word_64136bf5.mp3],[sound:Lucky Star_sent_3abb30d5.mp3]
マイナス,マイナス,"1. minus, negative (quantity), subtraction, taking away<br>2. deficit<br>3. disadvantage, drawback, handicap<br>4. negative (ion, pole, growth, image, effect, etc.)",N2,3,その分<b>マイナス</b>すれば…,If that's a minus...,"S01E01, S01E12, S01E17","<img src=""S01E01_00_15_25_758.jpg"">",[sound:Lucky Star_word_a7d351d3.mp3],[sound:Lucky Star_sent_54760c88.mp3]
思いっきり,おもいきり,"1. to one's heart's content, as much as one wants, as hard as one can, with all one's strength, to the best of one's ability, to the utmost, with determination, hard, heavily<br>2. resolution, decisiveness, determination, resignation",Unlabeled,3,<b>思いっきり</b>キャラものの下着 着てきちゃった,I went all out and wore character underwear.,"S01E01, S01E08, S01E09","<img src=""S01E01_00_15_35_142.jpg"">",[sound:Lucky Star_word_94578669.mp3],[sound:Lucky Star_sent_0787b11a.mp3]
伸びる,のびる,"1. to stretch, to extend, to lengthen, to grow (of hair, height, grass, etc.)<br>2. to straighten out, to be flattened, to become smooth<br>3. to spread (of paint, cream, etc.)<br>4. to stretch out (e.g. of a hand), to extend<br>5. to lose elasticity, to become slack, to become soggy (e.g. noodles)<br>6. to make progress, to develop, to expand, to increase, to improve<br>7. to be exhausted, to be groggy, to pass out, to collapse<br>8. to be prolonged (meeting, life span, etc.), to be extended (e.g. deadline), to lengthen (e.g. of the days)<br>9. to be postponed, to be delayed, to be put off",N3,3,小早川さんも まだ<b>伸びる</b>から,Mr. Kobayakawa is still growing.,"S01E01, S01E16, S01E19","<img src=""S01E19_00_17_18_746.jpg"">",[sound:Lucky Star_word_a0f48831.mp3],[sound:Lucky Star_sent_1926395e.mp3]
売る,うる,1. to sell,N5,3,あんたと一緒にするな ケンカ<b>売っ</b>てんのか？,Don't join me. Are you trying to pick a fight?,"S01E01, S01E08, S01E19","<img src=""S01E01_00_15_57_247.jpg"">",[sound:Lucky Star_word_e6ad5641.mp3],[sound:Lucky Star_sent_16ef6262.mp3]
閉じこもる,とじこもる,"1. to seclude oneself, to shut oneself away",Unlabeled,3,リアル バーチャル共に <b>閉じこもり</b>か！,Real and virtual cooped up!,S01E01,"<img src=""S01E01_00_16_56_932.jpg"">",[sound:Lucky Star_word_93f45891.mp3],[sound:Lucky Star_sent_dc874909.mp3]
怪しい,あやしい,"1. suspicious, dubious, questionable, dodgy, shady, fishy<br>2. doubtful, unsure, uncertain, unlikely, implausible<br>3. untrustworthy, unreliable, clumsy, awkward, shaky, poor<br>4. strange, weird, eerie, spooky, uncanny<br>5. ominous (e.g. weather), threatening, dangerous (e.g. financial situation), uncertain<br>6. suspicious (of a potential amorous relation)<br>7. mysterious, bewitching, alluring, enticing, enchanting",N2,3,つかさが <b>怪しい</b>外国人の大男に―,Tsukasa to a suspicious big foreign man...,"S01E01, S01E15","<img src=""S01E01_00_17_05_899.jpg"">",[sound:Lucky Star_word_4d267a9e.mp3],[sound:Lucky Star_sent_87d70073.mp3]
外国人,がいこくじん,"1. foreigner, foreign citizen, foreign national, alien, non-Japanese",N5,3,本当は<b>外国人</b>さんに 道を聞かれてたんだけど,"Actually, I was being asked directions by a foreigner.","S01E01, S01E16","<img src=""S01E01_00_17_28_047.jpg"">",[sound:Lucky Star_word_ade62a1d.mp3],[sound:Lucky Star_sent_cb95f8fb.mp3]
格闘,かくとう,"1. hand-to-hand fighting, grappling, scuffling",Unlabeled,3,まあ 実際 <b>格闘</b>経験者の腕を 振るったわけだよ,"Well, he actually demonstrated the skills of someone with fighting experience.","S01E01, S01E03, S01E11","<img src=""S01E01_00_17_20_539.jpg"">",[sound:Lucky Star_word_afd52e9e.mp3],[sound:Lucky Star_sent_6251dd9e.mp3]
腕,うで,Skill / Ability (in games/sports),N4,3,でもさ 自分の<b>腕</b>とかに 蚊が止まったらどうするの？,But what if a mosquito lands on your arm?,"S01E01, S01E20","<img src=""S01E20_00_04_59_924.jpg"">",[sound:Lucky Star_word_9372daed.mp3],[sound:Lucky Star_sent_98d66497.mp3]
道,みち,"1. road, path, street, lane, passage<br>2. route, way<br>3. distance, journey<br>4. road (e.g. to victory), course<br>5. way (of living, proper conduct, etc.), moral principles<br>6. teachings (esp. Confucian or Buddhist), dogma<br>7. field (e.g. of medicine), subject, speciality<br>8. means, way, method",N5,3,本当は外国人さんに <b>道</b>を聞かれてたんだけど,"Actually, I was being asked directions by a foreigner.","S01E01, S01E06, S01E11","<img src=""S01E01_00_17_28_047.jpg"">",[sound:Lucky Star_word_00a9d5bd.mp3],[sound:Lucky Star_sent_cb95f8fb.mp3]
録画,ろくが,1. (video) recording,Unlabeled,3,深夜アニメの予約<b>録画</b>が めちゃくちゃになるし,Scheduled recording of late-night anime becomes a mess.,"S01E01, S01E07, S01E19","<img src=""S01E01_00_17_56_283.jpg"">",[sound:Lucky Star_word_70b00533.mp3],[sound:Lucky Star_sent_89f1b3b8.mp3]
卒業,そつぎょう,"1. graduation, completion (of a course)<br>2. moving on (from), outgrowing (something), leaving (a group, company, etc.), quitting",N4,3,今日は<b>卒業</b>祝いってことで みんなで飲みに行くか！,"Today is a graduation celebration, so let's all go out for drinks!","S01E01, S01E14","<img src=""S01E14_00_15_55_412.jpg"">",[sound:Lucky Star_word_afe8aabb.mp3],[sound:Lucky Star_sent_ad23b6d2.mp3]
ウッソ,ウッソ・エヴィン,1. Üso Ewin,Unlabeled,3,<b>ウッソ</b>～ 楽屋で白い煙 鼻からプハーとかしてんじゃないの,"Uso~ There's white smoke in the dressing room, isn't he blowing from his nose?","S01E01, S01E03, S01E21","<img src=""S01E03_00_21_48_181.jpg"">",[sound:Lucky Star_word_8a8a7a3f.mp3],[sound:Lucky Star_sent_37bcaa2e.mp3]
お祝い,おいわい,"1. congratulation, congratulations, celebration, festival<br>2. congratulatory gift, present",N4,3,視聴者の皆さんからの <b>お祝い</b>のおはがきが来ています,Congratulatory postcards have arrived from viewers.,"S01E01, S01E16, S01E17","<img src=""S01E01_00_20_15_088.jpg"">",[sound:Lucky Star_word_84af96ef.mp3],[sound:Lucky Star_sent_3bd81350.mp3]
認める,したためる,"1. to write (e.g. a letter), to draw up (a document), to take down (e.g. notes)<br>2. to have (lunch, dinner, etc.), to eat",N3,3,“あきらさんは自他共に<b>認める</b> スーパーアイドルですが”,“Akira-san is a super idol that both herself and others recognize.”,"S01E01, S01E20, S01E22","<img src=""S01E01_00_20_29_478.jpg"">",[sound:Lucky Star_word_463920d5.mp3],[sound:Lucky Star_sent_606e4018.mp3]
アハ,あはは,1. a-ha-ha (laughing loudly),Unlabeled,3,っていうか言い方がすげえムカつく <b>アハ</b>,"I mean, the way you say it is really annoying, haha.","S01E01, S01E03, S01E23","<img src=""S01E03_00_02_21_182.jpg"">",[sound:Lucky Star_word_15b12876.mp3],[sound:Lucky Star_sent_d448657a.mp3]
別居中,別居中,1. Home (Auto-translated),Unlabeled,3,ちょっと最近 <b>別居中</b>のパパが 生活費を送ってこないからって,"Lately, my estranged father hasn't sent me any living expenses.",S01E01,"<img src=""S01E01_00_21_20_779.jpg"">",[sound:Lucky Star_word_5e94a490.mp3],[sound:Lucky Star_sent_b77d73dc.mp3]
パパ,パパ,"1. papa, dad, daddy<br>2. sugar daddy",Unlabeled,3,ちょっと最近 別居中の<b>パパ</b>が 生活費を送ってこないからって,"Lately, my estranged father hasn't sent me any living expenses.",S01E01,"<img src=""S01E01_00_21_20_779.jpg"">",[sound:Lucky Star_word_3fb9aebc.mp3],[sound:Lucky Star_sent_b77d73dc.mp3]
生活費,せいかつひ,1. living expenses,Unlabeled,3,ちょっと最近 別居中のパパが <b>生活費</b>を送ってこないからって,"Lately, my estranged father hasn't sent me any living expenses.",S01E01,"<img src=""S01E01_00_21_20_779.jpg"">",[sound:Lucky Star_word_173050b5.mp3],[sound:Lucky Star_sent_b77d73dc.mp3]
ジャンジャン,じゃんじゃん,"1. clanging (of a bell), jangling, ding-dong<br>2. continuously, incessantly, one after another, rapidly, plentifully, freely",Unlabeled,3,<b>ジャンジャン</b>入れないと もったいないじゃん,It would be a waste if I didn't put in Jean-Jean.,S01E01,"<img src=""S01E01_00_22_25_260.jpg"">",[sound:Lucky Star_word_06065163.mp3],[sound:Lucky Star_sent_eb0a6cca.mp3]
早る,はぐる,"1. to stray from, to get lost",Unlabeled,3,<b>早っ</b>！ というか弱っ！,"Hurry! Or rather, it's weak!","S01E01, S01E04, S01E16","<img src=""S01E04_00_18_18_055.jpg"">",[sound:Lucky Star_word_3c76fbee.mp3],[sound:Lucky Star_sent_5db6e8ba.mp3]
エプロン,エプロン,1. apron<br>2. apron (airport)<br>3. apron (stage),N2,3,チェッ ちょっと狙ってたのにな 「恋の<b>エプロン</b>」のエプロン,"Check, I was just looking at the apron from ""Apron of Love""","S01E02, S01E03","<img src=""S01E03_00_01_59_619.jpg"">",[sound:Lucky Star_word_bb1f6eed.mp3],[sound:Lucky Star_sent_82ebbedd.mp3]
スペシャル,スペシャル,1. special<br>2. TV special,Unlabeled,3,昨日の「恋のエプロン」 最終回<b>スペシャル</b>見た？,Did you watch the final episode special of “Apron of Love” yesterday?,"S01E02, S01E13","<img src=""S01E02_00_02_54_883.jpg"">",[sound:Lucky Star_word_e68f3602.mp3],[sound:Lucky Star_sent_2fcc7898.mp3]
展開,てんかい,"1. development, evolution, progression, unfolding, (plot) twist<br>2. expansion, spreading out, extending, deployment, building up<br>3. expansion (of an algebraic expression)<br>4. development (of a three-dimensional shape)<br>5. extraction (of compressed data), decompression, unpacking",N2,3,え？ あれ 寝てたの？ すごい<b>展開</b>だったんだから！,picture? Were you sleeping? It was a great development!,"S01E02, S01E08, S01E11","<img src=""S01E02_00_02_59_971.jpg"">",[sound:Lucky Star_word_ccd4ff23.mp3],[sound:Lucky Star_sent_a73b084c.mp3]
ラスト,ラスト,"1. last, final<br>2. end, conclusion<br>3. rust",Unlabeled,3,<b>ラスト</b>近くの階段のとこで 下りてくる亀をうまく踏んづけて,"Near the end of the stairs, I successfully stepped on the turtle that was coming down.","S01E02, S01E09, S01E11","<img src=""S01E09_00_23_04_508.jpg"">",[sound:Lucky Star_word_05da73ac.mp3],[sound:Lucky Star_sent_6da9be8e.mp3]
めっちゃ,めちゃ,"1. absurd, ridiculous, nonsense<br>2. excessive, extreme",Unlabeled,3,始まる前は なんかいろいろと <b>めっちゃ</b>期待したり―,"Before it started, I was really looking forward to a lot of things.","S01E02, S01E19, S01E20","<img src=""S01E19_00_23_09_763.jpg"">",[sound:Lucky Star_word_398af45c.mp3],[sound:Lucky Star_sent_f31e06ae.mp3]
いらっ,いら,1. scarbreast tuskfin (Choerodon azurio),Unlabeled,3,ああ 姉さん <b>いらっ</b>しゃ～い！,"Ah, sister, welcome!","S01E02, S01E23","<img src=""S01E23_00_03_35_965.jpg"">",[sound:Lucky Star_word_c3742512.mp3],[sound:Lucky Star_sent_2bfdf035.mp3]
経験値,けいけんち,"1. amount of experience<br>2. experience point (in video games, etc.), exp, XP",Unlabeled,3,なかなか<b>経験値</b>とお金が ウマウマなんだよ,The experience points and money are quite good.,"S01E02, S01E05","<img src=""S01E05_00_02_31_901.jpg"">",[sound:Lucky Star_word_6ab86fa3.mp3],[sound:Lucky Star_sent_8891ab54.mp3]
よな,よな,Yona,Unlabeled,3,買わないで よそ行くの 気まずい<b>よな</b>～って,I thought it would be awkward to leave without buying anything.,"S01E02, S01E22","<img src=""S01E22_00_09_55_720.jpg"">",[sound:Lucky Star_word_950e2b0f.mp3],[sound:Lucky Star_sent_54f15d48.mp3]
ムダ,むだ,"1. futility, waste, uselessness, pointlessness, idleness",Unlabeled,3,姉さんのパワーもらうと <b>ムダ</b>に 元気になって余計 疲れそうだね,"When I get my sister's power, I feel like I'm getting more energy and I'm even more tired.","S01E02, S01E07, S01E24","<img src=""S01E24_00_13_33_562.jpg"">",[sound:Lucky Star_word_2b0629f0.mp3],[sound:Lucky Star_sent_5a718a36.mp3]
いっ,いち,"1. one<br>2. best<br>3. first, foremost<br>4. beginning, start<br>5. a (single), one (of many)<br>6. ace (playing card)<br>7. bottom string (on a shamisen, etc.)",Unlabeled,3,私もまったく気にせず遊びました う<b>いっ</b>！,I also played without worrying about it at all. Ugh!,"S01E02, S01E06, S01E22","<img src=""S01E02_00_05_55_063.jpg"">",[sound:Lucky Star_word_a4e37ee4.mp3],[sound:Lucky Star_sent_f0b0efbe.mp3]
偉い,えらい,"1. great, excellent, admirable, remarkable, distinguished, important, celebrated, famous, eminent<br>2. very troublesome, awful, terrible<br>3. tiring, tough<br>4. very, extremely",N2,3,<b>偉い</b>人は言いました,a great man said,"S01E02, S01E13","<img src=""S01E02_00_06_51_077.jpg"">",[sound:Lucky Star_word_0ff4df6c.mp3],[sound:Lucky Star_sent_010c9f51.mp3]
箱,はこ,"1. box, case, chest, package, pack, crate<br>2. car (of a train, etc.)<br>3. shamisen case, shamisen<br>4. public building, community building<br>5. man who carries a geisha's shamisen<br>6. receptacle for human waste, feces (faeces)<br>7. counter for boxes (or boxed objects)",N5,3,ＵＦＯキャッチャーは 貯金<b>箱</b>であると,UFO catcher is a piggy bank,"S01E02, S01E13, S01E20","<img src=""S01E02_00_06_52_870.jpg"">",[sound:Lucky Star_word_702dff99.mp3],[sound:Lucky Star_sent_d0674f2c.mp3]
勉,勉,Tsutomu,Unlabeled,3,あんた 置き傘とかしてないわけ？ 置き<b>勉</b>してるくせに,You don't have an umbrella with you? Even though I'm studying at home,"S01E02, S01E17, S01E18","<img src=""S01E18_00_09_42_164.jpg"">",[sound:Lucky Star_word_b6636b03.mp3],[sound:Lucky Star_sent_2137e6b6.mp3]
前日,ぜんじつ,"1. previous day, day before, eve, prior day, preceding day",Unlabeled,3,テストの<b>前日</b>になるまで 持って帰らないくらいだからな,I don't even bring it home until the day before the test.,"S01E02, S01E04","<img src=""S01E04_00_02_38_825.jpg"">",[sound:Lucky Star_word_e1e3664a.mp3],[sound:Lucky Star_sent_de0ac244.mp3]
間に合う,まにあう,"1. to be in time (for)<br>2. to serve (suit, meet) the purpose, to be good enough, to be enough, to manage, to make do",N4,3,“<b>間に合い</b>そうなので”,“It looks like it will be on time”,"S01E02, S01E07, S01E23","<img src=""S01E23_00_01_48_149.jpg"">",[sound:Lucky Star_word_f18ada05.mp3],[sound:Lucky Star_sent_2e19cacf.mp3]
おかげさま,おかげさま,"1. (someone's) assistance, help, aid, kindness, goodwill<br>2. grace (of God), benevolence (of Buddha), blessing",Unlabeled,3,<b>おかげさま</b>でバッチリ！ 納得いかねえ！,"Thanks to you, it's perfect! I can't believe it!","S01E02, S01E07, S01E21","<img src=""S01E02_00_09_03_668.jpg"">",[sound:Lucky Star_word_d3a18317.mp3],[sound:Lucky Star_sent_c24be51e.mp3]
付き合う,つきあう,"1. to associate with, to keep company with, to go out with, to go steady with, to get on with<br>2. to go along with, to follow someone's lead, to accompany someone, to compromise",N1,3,何だかんだ言っても 寄り道とかには<b>付き合う</b>のね,"No matter what I say, I'll go with you on detours.","S01E02, S01E09, S01E20","<img src=""S01E02_00_09_18_057.jpg"">",[sound:Lucky Star_word_b5155743.mp3],[sound:Lucky Star_sent_aa69d620.mp3]
サービス,サービス,"1. service, help, assistance, care, concern<br>2. discount, discounted item<br>3. free service, freebie, gift<br>4. service, utility, amenity, resource<br>5. (after-sales) service, servicing, (product) maintenance<br>6. service (e.g. in tennis), serve",N3,3,観客<b>サービス</b>も忘れないなあ,Don't forget about audience service.,"S01E02, S01E08, S01E18","<img src=""S01E08_00_10_38_220.jpg"">",[sound:Lucky Star_word_061256ee.mp3],[sound:Lucky Star_sent_37f02a5d.mp3]
入試,にゅうし,1. entrance examination,Unlabeled,3,その顔は一芸<b>入試</b>の時に 役に立つかもしれませんね,That face might be useful for the entrance exam.,"S01E02, S01E20","<img src=""S01E02_00_15_06_071.jpg"">",[sound:Lucky Star_word_48db443c.mp3],[sound:Lucky Star_sent_7fac0db8.mp3]
ヘヘ,へへ,Heh-heh (Awkward laughter),Unlabeled,3,<b>ヘヘ</b> 自分で誰に貸したか 覚えてないのもあるし,"Hehe, I don't even remember who I lent it to.","S01E02, S01E09, S01E22","<img src=""S01E22_00_07_05_216.jpg"">",[sound:Lucky Star_word_e555b38f.mp3],[sound:Lucky Star_sent_ae6f468a.mp3]
緊張感,きんちょうかん,"1. feeling of tension, air of tension, tension, nervousness",Unlabeled,3,歯医者さん独特の薬のにおいとか 待っている時の<b>緊張感</b>,The unique smell of medicine at the dentist and the feeling of nervousness while waiting,"S01E02, S01E13, S01E14","<img src=""S01E02_00_11_38_739.jpg"">",[sound:Lucky Star_word_d3504ee0.mp3],[sound:Lucky Star_sent_1972957a.mp3]
武器,ぶき,"1. weapon, arms, ordnance<br>2. weapon (something used to gain an advantage), asset",N3,3,ドリルを<b>武器</b>に戦うロボットの ガチ勝負は たまんないらしいよ,It seems like a serious fight between robots using drills as weapons is unbearable.,"S01E02, S01E05, S01E12","<img src=""S01E02_00_11_57_425.jpg"">",[sound:Lucky Star_word_4fe13117.mp3],[sound:Lucky Star_sent_e3b03d25.mp3]
戦う,たたかう,"1. to make war (on), to wage war (against), to go to war (with), to fight (with), to do battle (against)<br>2. to compete (against)<br>3. to struggle (against adversities, etc.), to fight, to contend, to resist",N3,3,ドリルを武器に<b>戦う</b>ロボットの ガチ勝負は たまんないらしいよ,It seems like a serious fight between robots using drills as weapons is unbearable.,"S01E02, S01E07, S01E21","<img src=""S01E02_00_11_57_425.jpg"">",[sound:Lucky Star_word_ace9ae93.mp3],[sound:Lucky Star_sent_e3b03d25.mp3]
歯科,しか,1. dentistry,N1,3,行くのがダメなら来てもらいましょ 訪問<b>歯科</b>に,"If you can't go, let's have you come to the visiting dentist.","S01E02, S01E06","<img src=""S01E06_00_18_39_535.jpg"">",[sound:Lucky Star_word_f497d713.mp3],[sound:Lucky Star_sent_c4f88e05.mp3]
向き,むき,"1. direction, orientation, aspect, exposure<br>2. suited to, suitable for, designed for<br>3. tendency, inclination<br>4. nature (of a request or desire)<br>5. person",N1,3,確かに男性<b>向き</b>といえば そうかもしれませんね,It may be true that it is suitable for men.,"S01E02, S01E03","<img src=""S01E02_00_12_31_000.jpg"">",[sound:Lucky Star_word_f0718bc7.mp3],[sound:Lucky Star_sent_ab6c19f4.mp3]
イス,いす,"1. chair, stool<br>2. post, office, position",Unlabeled,3,じゃあ つかさは 空気<b>イス</b>で我慢とか,"Well then, Tsukasa should endure it in an air chair.","S01E02, S01E06, S01E07","<img src=""S01E06_00_07_03_172.jpg"">",[sound:Lucky Star_word_9039b6af.mp3],[sound:Lucky Star_sent_4156472a.mp3]
政治,せいじ,"1. politics, government",N4,3,<b>政治</b>の力っていうかさ まあ 大人の事情っつうの？ ハハハッ,"Is it political power? Well, it's an adult situation? Hahaha","S01E02, S01E22","<img src=""S01E22_00_21_27_327.jpg"">",[sound:Lucky Star_word_50eccbd0.mp3],[sound:Lucky Star_sent_01774521.mp3]
カネ,おはぐろ,1. tooth blackening<br>2. tooth-blackening dye,Unlabeled,3,労力 そして<b>カネ</b>を使ってると 思ってんだ,I thought it was a lot of effort and money.,"S01E02, S01E04, S01E18","<img src=""S01E04_00_21_02_177.jpg"">",[sound:Lucky Star_word_12739546.mp3],[sound:Lucky Star_sent_8f4e0a9e.mp3]
派,は,"1. clique, group, coterie<br>2. (political) faction, wing, party, camp<br>3. school<br>4. sect, denomination",N1,3,ここまで肉体労働系の インドア<b>派</b>も珍しいよな,It's rare to find an indoor person who does so much manual labor.,"S01E02, S01E07, S01E19","<img src=""S01E07_00_10_31_047.jpg"">",[sound:Lucky Star_word_1a7b6134.mp3],[sound:Lucky Star_sent_3fb82fff.mp3]
楽しめる,たのしむ,1. to enjoy (oneself),Unlabeled,3,２つの声で２つの世界が<b>楽しめる</b> １粒で２度おいしい,Enjoy two worlds with two voices. Twice delicious with one grain.,"S01E02, S01E13, S01E18","<img src=""S01E02_00_14_00_798.jpg"">",[sound:Lucky Star_word_ff8d5ba7.mp3],[sound:Lucky Star_sent_b0e03a59.mp3]
客,きゃく,"1. guest, visitor<br>2. customer, client, shopper, spectator, audience, tourist, sightseer, passenger<br>3. counter for containers used to entertain guests",N4,3,それが<b>客</b>に対する態度か？,Is that how you treat your customers?,"S01E02, S01E16, S01E17","<img src=""S01E16_00_11_31_941.jpg"">",[sound:Lucky Star_word_db52c272.mp3],[sound:Lucky Star_sent_ba0f3a84.mp3]
勝つ,かつ,"1. to win, to gain victory",N4,3,にらめっこで<b>勝っ</b>た人が 食べることにしよう,The person who wins the staring contest will get to eat it.,"S01E02, S01E03","<img src=""S01E02_00_14_15_729.jpg"">",[sound:Lucky Star_word_40ef973f.mp3],[sound:Lucky Star_sent_cfba9839.mp3]
ノベル,ノベル,1. novel,Unlabeled,3,ライト<b>ノベル</b>はいいと思うけど,I think light novels are good.,"S01E02, S01E17, S01E22","<img src=""S01E02_00_15_31_555.jpg"">",[sound:Lucky Star_word_1adf7668.mp3],[sound:Lucky Star_sent_0e645194.mp3]
若者,わかもの,"1. young man, young woman, young people, youth, youngsters",Unlabeled,3,頑張っとる<b>若者</b>に 飲みもんくらいは おごったる,"For young people who are working hard, we are generous with drinks.","S01E02, S01E08, S01E24","<img src=""S01E24_00_21_18_902.jpg"">",[sound:Lucky Star_word_2b04e4c6.mp3],[sound:Lucky Star_sent_2f665c4a.mp3]
労働,ろうどう,"1. manual labor, manual labour, toil, work<br>2. Labour Party",N3,3,うう～ 学問とか<b>労働</b>って文字が 私の辞書にはないんだよね,"Ugh, the words ""academic"" and ""labor"" aren't in my dictionary.","S01E02, S01E13, S01E14","<img src=""S01E13_00_15_36_936.jpg"">",[sound:Lucky Star_word_620c0fa1.mp3],[sound:Lucky Star_sent_3a519179.mp3]
クビ,くび,"1. neck<br>2. head<br>3. dismissal, discharge, firing (from a job)",Unlabeled,3,<b>クビ</b>にならないといいけど,I hope I don't get fired.,"S01E02, S01E22","<img src=""S01E02_00_17_08_485.jpg"">",[sound:Lucky Star_word_37890d39.mp3],[sound:Lucky Star_sent_bd4afb73.mp3]
ビデオ,ビデオ,1. video,N3,3,レンタル<b>ビデオ</b>ショップ どうかな？,How about a rental video shop?,"S01E02, S01E08, S01E09","<img src=""S01E02_00_17_39_141.jpg"">",[sound:Lucky Star_word_a9d0843a.mp3],[sound:Lucky Star_sent_97b0af91.mp3]
宅配,たくはい,1. home delivery,Unlabeled,3,どうせピザは<b>宅配</b>で パスタは乾麺でしょ,"The pizza is delivered anyway, and the pasta is dried noodles.","S01E02, S01E13, S01E19","<img src=""S01E13_00_05_00_508.jpg"">",[sound:Lucky Star_word_4081833d.mp3],[sound:Lucky Star_sent_654698a8.mp3]
喫茶,きっさ,"1. tea drinking<br>2. teahouse, tearoom, coffee lounge, coffee shop, (rather formal) cafe",N1,3,仮装<b>喫茶</b>で バイト始めたって言ってたけど,You said you started working part-time at a costume cafe.,"S01E02, S01E04, S01E16","<img src=""S01E04_00_09_42_999.jpg"">",[sound:Lucky Star_word_780a584f.mp3],[sound:Lucky Star_sent_e70fe243.mp3]
表れ,あらわれ,"1. embodiment, manifestation, materialization, materialisation, expression, indication",Unlabeled,3,これも ひとえに あきら様の人気の<b>表れ</b>かと,Is this just a sign of Akira-sama's popularity?,"S01E02, S01E15","<img src=""S01E02_00_18_52_965.jpg"">",[sound:Lucky Star_word_8d0210db.mp3],[sound:Lucky Star_sent_cae7ef82.mp3]
パート,パート,1. part<br>2. part-timer<br>3. part-time (work),N4,3,それぞれの<b>パート</b>で それぞれが死力を尽くす,Each person does his or her best in each part.,"S01E02, S01E08, S01E17","<img src=""S01E17_00_21_00_217.jpg"">",[sound:Lucky Star_word_0a859e6c.mp3],[sound:Lucky Star_sent_b2167c2f.mp3]
明け,あけ,"1. dawn, daybreak<br>2. end, soon after something has ended<br>3. beginning (of a new year, month, etc.)",Unlabeled,3,テスト<b>明け</b>だし 気晴らしにパーッと遊びに行くか,"It's the end of the test, so I'm going to go out and play for fun.","S01E02, S01E09, S01E11","<img src=""S01E09_00_09_55_177.jpg"">",[sound:Lucky Star_word_fb475195.mp3],[sound:Lucky Star_sent_25d2e787.mp3]
